chromosome	EdU_start	EdU_end	readID	read_start	read_end	strand
chr1	145746276	145750530	cf973308-2c2d-44dc-bc7d-d681ecabf82a	145743593	145752250	fwd
chr1	147392956	147394483	bca52497-8529-407f-b161-d0a25ec4a049	147386995	147394491	fwd
chr1	151938764	151941644	65f1306d-d29f-4e31-97d5-68e9c00e01e9	151935941	151941650	fwd
chr1	153590382	153593146	6564ea28-8596-4ad6-816d-eac7a67100af	153585697	153598281	fwd
chr1	157204174	157208073	2ca7371f-320c-41a7-80ed-97aea83ea601	157202478	157213335	fwd
chr1	163766522	163767641	77d33aea-cfb2-4bc8-a9e1-612a1647a586	163759633	163773492	fwd
chr1	172245595	172250783	f90c98c6-bc8f-4c8b-93bf-b78d4267992e	172244450	172254093	fwd
chr1	174750688	174753243	f200e264-5b2e-496f-8cd2-5f52b5078502	174746300	174759930	fwd
chr1	188192112	188193122	7d125b6c-5626-493b-ab94-999c7ac19e75	188191182	188201250	rev
chr1	198718698	198720504	f9a3d4ee-63eb-4f9e-b936-7d020caba97f	198716373	198727319	rev
chr1	213434891	213436698	7c736c02-81e8-423f-8126-3637b57ef9de	213429845	213440131	fwd
chr1	219740865	219742703	55960c1e-db3a-4335-b9c9-487c6d1df9f7	219737404	219746657	rev
chr1	226708247	226711277	82438c37-0302-42f4-a03e-c5ddb8d624ff	226700606	226717647	rev
chr1	228984672	228986222	8691d307-4914-4910-a37a-adb74e857e30	228976492	228991186	fwd
chr1	233917794	233919013	ea09923d-397d-4b75-ba4c-5bb14eaba788	233913968	233928095	fwd
chr1	238380686	238383524	3618b41c-9ac0-45f1-b1f3-e9e0119516e7	238377968	238398392	fwd
chr1	241367979	241371298	49ae65d6-3ff0-459a-9151-2f14a9a49ab0	241364345	241374397	fwd
chr1	246767535	246771257	7cf623f5-c4eb-4702-a322-122e829b2db0	246767528	246773803	rev
chr14	21110989	21113760	c4596a07-0922-4c53-9193-948d6da5cc55	21108451	21119782	rev
chr14	42227863	42228974	2990ab42-5bb2-4f7e-b751-9dd3996393a0	42222362	42237305	fwd
chr14	52094138	52096380	2d3493a0-ac0f-43b0-aad9-ae3c6fa18ad2	52090569	52099675	rev
chr14	52325534	52328732	e1cef370-492d-43ea-855a-f7b2f9fc3a73	52324568	52335679	rev
chr14	59178655	59185236	f2b079ba-d6d1-43aa-9bfa-3a79abbdd6ff	59176771	59187059	fwd
chr14	61051010	61052590	966cc99c-0db2-4d19-af48-a28da5929488	61041084	61055461	fwd
chr14	63126772	63127902	f73cb6cc-f9d5-47b9-ac83-b70e65b6a169	63110433	63128017	fwd
chr14	67899098	67900356	82c6ae26-301c-424d-a49b-51832a342270	67896476	67902523	rev
chr14	92821550	92823551	a15e34e2-0678-4c87-a9ca-de19cd5c092f	92815165	92823567	rev
chr14	99988116	99990190	7e5aeca6-56f2-4e28-a28a-2c1f0e4e80f3	99983373	99992406	rev
chr15	19960719	19964383	4c1541ac-fd9c-4f5b-82bc-9f55d883c4e5	19958637	19974914	rev
chr15	35272113	35274430	811109bf-1c4b-402c-8f65-58882665e0d2	35272105	35290838	rev
chr15	38620293	38622500	4f4ccddf-f81e-41b9-b4f3-8cab4b7fd5ba	38606430	38622507	fwd
chr15	43381662	43382688	9c9b9b4e-ec23-46b6-834a-bf7441856239	43381658	43388503	fwd
chr15	43696921	43698303	524abb1f-e220-4a82-bf94-ad0bcf1853a6	43689293	43700973	fwd
chr15	45232536	45235120	4b2ad1e8-b8f0-4441-8119-2a8840290160	45227361	45238055	fwd
chr15	49777240	49781719	6bfc2624-30ab-4029-8fc5-ba10f146e5bd	49771183	49781723	rev
chr15	53226502	53227729	04952cb2-ae61-46e4-b1e6-7cefc7f87bdc	53216416	53228616	rev
chr15	55756226	55757394	bcb18a6d-26a3-44f5-b80a-e42499eae1d5	55756222	55764635	fwd
chr15	71269511	71271325	37c6eb16-b112-40ce-98fb-c3704403def0	71268572	71281390	fwd
chr15	72584968	72588016	6ead605c-7b3d-4531-aa92-251f08230577	72582996	72590660	rev
chr15	78664332	78666617	7a0fb5fa-af98-415a-9ab8-7989a8822af2	78659427	78676181	fwd
chr15	79496220	79497489	41ab24fe-2332-4f73-a501-318afb38cd2d	79490266	79503279	fwd
chr15	81993950	81995307	54fa0997-4df4-41e8-a2c3-01bde7f24cab	81988806	81999014	rev
chr15	82745635	82749512	1767ed96-3a00-4068-a23c-b5a94334738d	82738408	82749907	rev
chr15	83946302	83948199	d7de8118-395e-48fc-9ab7-75e2070a8a04	83942422	83953229	rev
chr15	96137319	96138752	008d21d0-81b3-4f85-abb3-974d7f971868	96131143	96142289	rev
chr16	21716905	21719507	769a7437-0698-4ce4-b7ec-90c763e57bfa	21701393	21731448	rev
chr16	35978065	35979712	f0e543d1-17c6-43dc-9059-a0372f60f2fe	35974852	35985095	rev
chr16	46384945	46386126	dedaee74-ebc4-44fa-b1ca-96c4f33d9654	46383095	46405953	fwd
chr16	46394211	46398235	dedaee74-ebc4-44fa-b1ca-96c4f33d9654	46383095	46405953	fwd
chr16	46383412	46385674	c3d770d0-2e5e-46e3-b112-54e4642c5ca8	46383407	46392500	rev
chr16	46388208	46389506	d7e49fb9-67ca-462d-bbd3-a0c189d02133	46384115	46401327	fwd
chr16	46388350	46389534	9905319c-c85e-4c1a-9915-7a70f2611935	46384158	46400636	fwd
chr16	46387718	46394229	75474515-1f22-4d50-9974-6fcf4abc68aa	46385624	46400636	rev
chr16	46397294	46400496	75474515-1f22-4d50-9974-6fcf4abc68aa	46385624	46400636	rev
chr16	46401876	46403050	16aca80b-4b07-49fc-8cc2-e45420b65667	46385709	46403055	fwd
chr16	46389451	46391731	3bf6c3f4-01db-47e1-acf5-87a0b33d40fa	46386469	46400682	fwd
chr16	46401881	46403295	ea80e1ae-788a-4efb-80f8-9fb167d14b4c	46386486	46403301	rev
chr16	46394463	46399750	a1851840-9061-4746-8a46-4feb1034bdf4	46386831	46401474	fwd
chr16	46401618	46402719	a45e041f-8bbb-4844-8e3b-bd22b7838332	46387214	46403911	rev
chr16	46387309	46394210	cc937f93-59bf-4313-abd2-74bf6ec27c68	46387304	46403452	rev
chr16	46398364	46400047	cc937f93-59bf-4313-abd2-74bf6ec27c68	46387304	46403452	rev
chr16	46387397	46389495	d0a6557a-4255-4494-baa3-3994a8cbd40a	46387385	46401758	rev
chr16	46394463	46401751	d0a6557a-4255-4494-baa3-3994a8cbd40a	46387385	46401758	rev
chr16	46388587	46389608	ee6af0d2-e9cf-4c09-a801-2bf29096a074	46387648	46404819	rev
chr16	46395634	46397117	7d26f6aa-1b6e-40ae-bae8-9dc1c4de9b46	46388224	46403914	rev
chr16	46402193	46403215	295a246a-e51a-475d-951a-5967231f22dd	46388775	46403765	fwd
chr16	46393249	46397299	b5ddc150-8a3f-4777-a4fb-c44d74ee18e3	46388787	46401042	fwd
chr16	46394458	46397309	35ed10ed-919e-4d3d-958f-98814fed4834	46389542	46400128	fwd
chr16	46394673	46397293	f8fb20d3-1510-4d7c-b346-05c3fb5ace72	46389873	46402698	rev
chr16	75651710	75653497	341a089d-6edc-48dc-85e4-fe57aed11be6	75651701	75660170	rev
chr16	83925078	83927102	bde318ea-562b-4a73-ba93-101e49c576ef	83915128	83939760	fwd
chr16	84361952	84363926	827c15dd-292a-4891-a612-6ed3d714233a	84346660	84363935	fwd
chr17	5299328	5301749	d65fd61e-e103-4def-8e6c-5b6599a45a5e	5299314	5309801	rev
chr17	15676423	15680565	7c34f11f-7267-429a-9f7a-51239605b436	15671563	15680573	rev
chr17	21975156	21976434	ceffae9c-b8c9-4fed-9b5d-d0476100016e	21972119	21983019	fwd
chr17	33970897	33972986	ae5dc0f0-f660-48be-a77b-757d53ef11a9	33961783	33998621	fwd
chr17	45987006	45988185	ba3777e4-df9c-467f-9327-86a688c38134	45980773	45990446	fwd
chr17	55984126	55985139	da4d0196-a6bc-4971-9569-ba384411d1e7	55975444	55988312	rev
chr17	63174896	63181981	67c2a630-b65d-434a-9053-b0a4e1d83544	63173511	63185341	fwd
chr17	63217193	63218353	8a4cbdce-d146-4c54-9634-34486579b3ff	63212310	63227300	fwd
chr17	78683787	78685243	87f64cc0-1a87-4c29-94e5-c6d6021fd48f	78681872	78688816	rev
chr18	5602380	5605917	bbfa718d-58da-4462-81ac-7c8a5f571a19	5599781	5611957	fwd
chr18	5878007	5879962	d5c9beb3-3729-4660-b99d-e0e9bfb05694	5874814	5881214	rev
chr18	6215457	6216491	c2a57df3-e65a-4706-8e81-477d2c66f4b0	6212187	6222088	fwd
chr18	6650944	6651983	362d427a-6716-4cd4-83ba-e31378e15571	6639322	6655041	fwd
chr18	8449967	8451757	b174323e-f3f9-4450-bedd-932741548f8a	8442153	8454054	fwd
chr18	8743520	8749401	51228dcb-deed-4c38-964d-2a3ef7f7cd48	8741384	8752817	rev
chr18	8760932	8764067	56f6b0bc-c712-4175-89be-12d5d95888eb	8757901	8764227	fwd
chr18	30761410	30762577	8844c659-84b0-4df0-ae87-372cc73fff1f	30754702	30767245	fwd
chr18	39630812	39632895	1b09f00c-43a1-4844-968d-4beaef9aeb78	39626355	39636019	rev
chr18	43969520	43971449	f57a35ee-8358-4956-afe1-b3ac77544fbc	43967326	43973394	rev
chr18	56194153	56195286	ae2bebc2-aa02-4db9-b417-6a27616c7531	56194014	56204973	rev
chr18	57834904	57836964	ff7f2be7-c091-4758-8908-cd485965d3ca	57832222	57841272	fwd
chr18	79239517	79241576	167f1dcf-1fb9-473b-a16c-0d5480d86c9d	79235609	79249193	fwd
chr19	3376714	3378394	080a8fce-89b1-495c-a91d-ac32feaa4702	3376705	3386543	fwd
chr19	17347186	17348505	b20edb31-9573-430f-886f-795fcad7f0bd	17346207	17353384	rev
chr19	24092066	24094201	7b7c55e6-e12b-44dc-b288-b86206baa3f7	24092058	24099778	fwd
chr19	49535389	49537399	773869cf-09d2-4981-af9a-0bb47c5fcd07	49525882	49540084	fwd
chr19	57512708	57513769	42151203-b288-4b4e-b800-37a053c5aabe	57504039	57513775	rev
chr2	3336680	3338359	960d13b4-b631-49a1-b575-1539d9083d5a	3333327	3343827	fwd
chr2	7729785	7730796	33bc3275-f1d7-4f32-9e85-f02c47b2b35e	7729540	7743505	rev
chr2	8771304	8774192	9cb2b8dc-74e0-4309-a2cb-81fe29523927	8759804	8774196	rev
chr2	15294302	15299151	68cc4246-ac66-4aef-8d1f-83cfc7ed56b2	15288563	15302881	rev
chr2	18601263	18602332	36636865-7960-4e96-8f25-662ca4b9ad2d	18599740	18607220	fwd
chr2	21151413	21152438	d7ac2018-0820-4276-9f77-3200f36c54d3	21142807	21164345	rev
chr2	22656729	22658763	1e26236b-e894-4ec9-abdb-8d76b402d264	22653650	22667830	fwd
chr2	24604099	24607674	aedd90d6-bdd7-4d21-a204-a8a7a156f210	24602724	24615226	rev
chr2	26838249	26841277	e1b1f868-71bf-43de-a42d-9adfcadc7110	26833105	26841900	fwd
chr2	69464905	69467577	883b63d3-e36b-4eb6-8146-908ee6783537	69464899	69473554	fwd
chr2	89831953	89833705	901c9d25-cb60-4fd9-8716-7ca2e4d32f7c	89831946	89843756	fwd
chr2	117653073	117655428	f12938e9-c176-457a-84c4-34451395aa40	117649196	117660867	rev
chr2	126439909	126440938	70ee0bfe-393b-4738-a4c2-46bf1f27d6d9	126439899	126447090	fwd
chr2	132591780	132594846	f0ec5ca8-bac6-4dcd-b41e-b826cce93847	132591740	132603718	rev
chr2	139182528	139186593	e551196d-29fb-4488-97c1-cd264f694ee8	139175607	139186604	rev
chr2	143906337	143908111	7d834efc-56ad-4904-9bb5-155728bf4cd9	143902740	143908471	rev
chr2	149790535	149791662	8b3cdc65-fa74-4829-bfbc-d4c93c1e85e0	149788171	149793867	rev
chr2	156534789	156536870	3d5e18f1-705b-4fde-a31b-64a1a6ad3484	156532147	156543697	fwd
chr2	158905979	158907183	0842ca53-c7f4-4ef8-8346-498173f246d6	158902443	158909153	rev
chr2	159918993	159920875	c58b20ff-0b77-4271-a7a8-81ac4d06fad6	159907596	159924294	fwd
chr2	162680760	162682640	e014ce1f-f0fa-4b14-8bb7-8dc373919ef1	162675670	162685211	rev
chr2	164610512	164613422	d8516cbc-9aff-40ad-9ef7-a2e7e4b66071	164607437	164619626	fwd
chr2	172925125	172928069	3b25bd55-178a-430f-8a89-e3f835a0c202	172918801	172928310	rev
chr2	178408272	178409382	5d0b14cc-459b-440f-b93f-2fb60e26bb12	178402984	178413689	fwd
chr2	187491178	187493222	37a55fa2-0f8a-4356-b353-019cf8b214d8	187489674	187502438	fwd
chr2	192780604	192781752	34aa6a3d-1b48-4d7b-bb8c-10e225704d64	192775979	192789531	fwd
chr2	215946534	215948649	7f672291-151e-4649-a7ac-c5ddac239cfa	215946196	215957523	fwd
chr2	224631466	224634484	3ef7c955-0208-4779-9e5b-37a0ac768ca9	224628604	224634489	fwd
chr2	226700507	226701659	b4e64599-cc99-4875-acc8-c5a4ad1eac50	226700500	226708733	rev
chr2	231017957	231019818	6694c13d-96ac-4b41-8da5-92e0ce98dda1	231013118	231021138	fwd
chr20	3786628	3788923	6d8a591d-6ef4-443a-8557-821950e9878a	3781939	3789251	rev
chr20	11129505	11130611	c3b5a2e2-5605-4f91-8cd2-101f93fcfddb	11129497	11139786	fwd
chr20	13703803	13708275	9c3cff24-971c-4c8d-8214-4b6bea190184	13694393	13717325	rev
chr20	19708537	19709604	d5677972-051f-44cc-a495-1cb97b6f87e1	19703760	19710414	rev
chr20	29116251	29118027	0c27d3a5-2adf-4f58-b6f7-ac4fb4a4ff25	29113095	29125693	fwd
chr20	31064077	31065537	270b3b72-f2b3-42f6-806f-4582c472bd73	31051508	31068338	fwd
chr20	31072882	31073937	b960a576-fe2d-4d07-ac5a-818bf457e1a0	31051968	31076742	fwd
chr20	31069222	31070514	919f2a44-1622-4a21-a1c4-ba9757ce4c95	31052353	31072198	fwd
chr20	31063412	31065547	0ee802b6-c9a8-43c6-92f3-14992ebc6d44	31055289	31068598	fwd
chr20	31075989	31077118	8e0b4661-d9c4-489c-8883-67742906dbcd	31055797	31077124	fwd
chr20	31059898	31061882	b452e204-7d46-4a59-853e-2d8f1ce46972	31054881	31084019	fwd
chr20	31060677	31063267	733c9c35-3438-4055-bad8-754c12a0e631	31056967	31071474	fwd
chr20	31063812	31065587	b80d9651-a291-4c2b-af4a-5f12f5eabf2c	31062709	31071997	fwd
chr20	31070010	31071233	747fdbc4-3dbc-43c8-9d2d-8401b35313e3	31063838	31076248	fwd
chr20	31066284	31067573	d34b4690-21f8-4bba-a863-8b67b263e57c	31063974	31076455	rev
chr20	31072837	31073861	d34b4690-21f8-4bba-a863-8b67b263e57c	31063974	31076455	rev
chr20	31191605	31193221	234764c5-9838-409f-8147-1d09801a9776	31183791	31199411	fwd
chr20	33817663	33820008	f734f209-2aa7-43e3-b251-589dd43abdce	33810332	33820032	fwd
chr20	35788290	35791171	f09b651c-78e7-492b-83fb-59670be980b7	35782800	35796341	fwd
chr20	38943284	38947545	e7ca9052-ce26-4883-b4bf-5fcaf9a7af48	38937590	38947937	rev
chr20	38996098	38998361	681abecc-0e9e-4794-8c40-99f9335cfa99	38989762	38999193	fwd
chr20	42031666	42033426	fadd3513-29c3-41ba-ac03-e3cddab11b8f	42023835	42035072	rev
chr20	45774014	45775958	0148f6d3-0a44-4cff-8ef5-e84395783eb9	45768638	45784862	fwd
chr20	45866799	45871085	8404b65f-39dc-4dd3-8107-35c942ad6c9d	45864276	45873828	rev
chr20	60533337	60534436	0d333854-2492-4915-9fde-7c2a9be01520	60531552	60540557	rev
chr21	10656666	10657891	925e7a09-4810-495d-af30-8a649f1a46cf	10656498	10672306	rev
chr21	10697169	10701136	0c1e2065-b0e5-4a14-afdb-bfff529a67dd	10695399	10701144	fwd
chr21	14131737	14134582	c22fc3e5-bc04-48c8-8f22-52a38a2252d7	14131332	14142613	rev
chr21	14862011	14864886	69ebb14b-33ec-43e8-adf9-c705eddbc180	14853219	14870404	rev
chr21	15155009	15158337	8bc388b3-3099-4768-b078-fabd52ad90c3	15152065	15160070	fwd
chr21	16753937	16755334	9c922d3d-1cdd-420d-a691-7a18e8b2658a	16753243	16765176	rev
chr21	23911890	23914678	15eec87e-5e9f-4fbd-a456-46c48fe48e56	23902743	23914683	rev
chr22	10707718	10710087	9f101ffd-d1a9-4c89-87bf-a205bfc07bd9	10707713	10721203	fwd
chr22	10717884	10720794	9f101ffd-d1a9-4c89-87bf-a205bfc07bd9	10707713	10721203	fwd
chr22	19188866	19192484	e6b3d2ae-c957-49b6-a61f-bc6ac5d95bf0	19186796	19196458	fwd
chr22	19769221	19770892	f1d01f16-9686-421f-b55f-209de81d5a21	19763950	19774691	rev
chr22	28083890	28085658	c385a57f-002d-4ef5-8ee3-5cca83797dc1	28072707	28085663	rev
chr3	7923797	7925827	ea346801-f77f-47c6-bd40-8bfa58dcbaec	7916173	7930141	rev
chr3	14436733	14439234	b3795908-6d71-4e6b-bc75-e769afa2222f	14433297	14444643	rev
chr3	24621304	24623451	5eedf4ab-3369-453b-a3be-4685c942be1f	24620105	24625167	fwd
chr3	26820832	26824147	0d7da67c-e3e6-4c1c-bc51-bc553402cf09	26816187	26827571	fwd
chr3	26821466	26824204	5fc6e2c7-af60-4d44-aeaa-58fb6707c6a9	26816008	26831307	fwd
chr3	29984811	29988408	eae7e9b7-d012-4b93-8948-de59c2908dea	29971072	29988417	fwd
chr3	30802916	30804351	b4d74482-6e6a-4395-b120-83e4929d5b9c	30798731	30812545	fwd
chr3	35419241	35421887	28a8beea-54bf-41fa-929e-f094f958a2ea	35419233	35427432	rev
chr3	39684053	39685240	5d2a50a5-13dc-47c5-a55b-410e375642fa	39678254	39687599	rev
chr3	53293865	53295312	6be7721a-a0e9-47d6-8995-4e5f8ea93567	53287771	53301602	rev
chr3	55573403	55577304	caed046e-6058-42f5-8356-1e2a099ea7a1	55569646	55577308	rev
chr3	78556123	78557395	8e01a479-4612-4146-bb34-34fdf6de396e	78554930	78570027	fwd
chr3	78668259	78671095	b6e6ff25-72d7-438b-a591-029a2a605993	78664729	78671113	fwd
chr3	84384105	84387648	7654f9fa-8f1f-4c63-9eb0-f73640e64d6e	84381443	84396245	fwd
chr3	100620191	100621683	7cdf358e-e12c-478c-ba67-f6c52fe8a85d	100612980	100624832	fwd
chr3	117421040	117422633	779de764-ebb5-4633-9724-fee87db52b1e	117413982	117425871	fwd
chr3	118003693	118005847	396c6b0b-135c-4d70-8dbb-471b94d9182d	118001477	118008312	fwd
chr3	131212050	131214457	d54e22b2-6682-4ae1-bddc-a96c8da27762	131207979	131217459	fwd
chr3	133225758	133226857	b9482d7c-a4d2-4259-8b9b-d0a4a3df7a8f	133220492	133226864	rev
chr3	136209997	136212275	51c37163-5614-4e50-9c18-fff5dcd378e5	136202516	136214860	rev
chr3	141147207	141150034	9dd543f6-0d2d-4620-ba9d-12bbf3ceb94f	141138166	141150042	fwd
chr3	151185405	151186441	1d03add8-06a1-4f82-a454-31c61e39269b	151168983	151189799	rev
chr3	153325219	153328593	f9529ea0-9961-4b94-9a80-d567e51546df	153313738	153335590	fwd
chr3	154753017	154754505	3dae7a50-d07d-4310-9ac4-26ad679bc85c	154753012	154766809	rev
chr3	156560611	156563604	86b08c05-5b96-4b1a-aa0d-9a78253377d2	156558165	156566174	rev
chr3	158195490	158200232	9ad6a984-698f-4a4f-a3cd-e916a094fc2f	158193149	158200754	fwd
chr3	158492695	158493962	c17dcde6-6bdd-4e42-8699-daae3c12fce2	158487168	158497152	fwd
chr3	159570296	159571532	74a60c1f-0080-4687-a200-f6ca9b43ae8d	159567812	159576212	rev
chr3	159887923	159890949	edac4f66-b1b3-4ef4-8168-5cdc0f6ede35	159885981	159894500	rev
chr3	160175881	160178147	b374f379-9464-4e8d-99fd-33faf45c8182	160171098	160181112	fwd
chr3	160418589	160422268	8421005b-3728-4de5-8b41-82c43c3219d6	160404682	160423994	rev
chr3	164748837	164749890	eec2aa5e-cbc6-4126-a3cf-69acddb22a0f	164731310	164749900	fwd
chr3	166258274	166259289	4465afbd-5e70-46a4-b942-4027ae693cab	166257039	166268638	fwd
chr3	175611932	175615694	81e91fbd-fdfe-4c82-8d88-d299828e216e	175605166	175619757	fwd
chr3	176717364	176718700	20b6e92b-5296-41d3-9edf-7fc9cc5e0371	176706591	176718708	fwd
chr3	177066836	177069150	4c4feb69-1dec-4c08-b109-d36dbe816fcb	177063285	177070614	rev
chr3	182855262	182858049	99a35cd7-3326-4344-b5ca-964ff7d95bce	182855251	182876644	fwd
chr3	186031835	186032835	1cc2e156-3daf-4e9b-b5ae-b37d768775ea	186031830	186040189	rev
chr3	188973140	188974908	1f25cf5e-dffb-4a04-a33a-66000250f856	188970382	188983279	fwd
chr3	189941059	189946047	f92309e2-1b1a-4cc2-ba0a-ccb5b8dac268	189941055	189948202	fwd
chr3	193808744	193812835	4b8949d4-8e51-462e-a94f-69e32a276b89	193807343	193812845	rev
chr3	194162726	194164213	26df53eb-92ba-4af7-aa8a-07f111cf9ade	194152306	194165567	fwd
chr3	197254354	197260897	f7d960c9-4b01-455e-bbfb-4724a1a9ff1a	197251457	197260912	fwd
chr4	1406720	1408653	b9392224-b8ed-4b5d-a37f-cd8c3dcbf9ed	1403451	1411294	fwd
chr4	2186434	2187475	c3460f57-a7ef-41d0-8b85-b0dd589b14b7	2176038	2189789	fwd
chr4	10516103	10517447	fb955ad6-738e-43f9-96a9-44ffade7f86c	10510644	10518901	rev
chr4	21591258	21592897	e5081c44-8708-473e-98c3-c25e1a8c615b	21587729	21593827	fwd
chr4	24937000	24938129	76001f6b-30b1-46ce-9d3e-6e114a663e5d	24932428	24942326	fwd
chr4	25285643	25287235	3ca0eeed-1761-4536-9941-b8333694e1a6	25279752	25287252	rev
chr4	25702828	25704201	e76aeafa-e6e5-47c2-aeeb-9b03efc07b20	25702822	25713358	rev
chr4	32442610	32444871	1cdbbcaf-525d-4585-ab84-477e17af1d73	32440028	32452477	rev
chr4	35834987	35836629	3c99e7ac-c5f9-4c01-a8ee-b60e5fd5f5dd	35832192	35838142	fwd
chr4	36118246	36121147	90280cca-8b43-4744-80b6-0d4b47b5f5f3	36113911	36127966	rev
chr4	45121951	45123579	a39c40de-d146-4698-acc4-b7069ff67223	45121934	45135963	fwd
chr4	49095291	49099068	6f86403d-ed0d-4d9e-aac9-730b3979504d	49091231	49104211	rev
chr4	49096313	49097630	748e28e9-dba2-4504-835b-0a1b0cbe9063	49091580	49102933	fwd
chr4	49102995	49104007	afe135e8-5ae7-4370-b6c8-c6229781ba40	49093394	49106427	fwd
chr4	49104736	49105736	723e2090-b131-4302-8692-118868d60bbd	49099116	49112137	rev
chr4	49106310	49107435	7f810679-4681-4471-a3fa-78b2c0c28e02	49106305	49114033	rev
chr4	49118293	49120676	e76a28b9-d02d-4046-8f36-63cdcd7bdcd4	49108750	49121679	rev
chr4	49124444	49125553	c5e0e778-5c5b-41fc-87e5-b089ba6217d1	49116327	49125558	fwd
chr4	49149806	49151444	d51541e7-3790-4277-a351-393f1ec2a5c5	49143801	49156884	rev
chr4	49154217	49156344	d51541e7-3790-4277-a351-393f1ec2a5c5	49143801	49156884	rev
chr4	49151374	49152736	d08c3943-301d-44ad-ab11-be946ba595d7	49147652	49166764	fwd
chr4	49155729	49157015	d08c3943-301d-44ad-ab11-be946ba595d7	49147652	49166764	fwd
chr4	49631972	49633231	c96d0768-ce36-4a01-a29b-069c4458a1e1	49631297	49655135	fwd
chr4	49638867	49639945	123441ea-8b48-4ea9-b39d-7a0dd3b86fed	49634968	49649043	fwd
chr4	67983024	67984562	af1fced0-056b-44c4-b550-c7e0e0be7204	67978903	67997203	fwd
chr4	91343764	91345694	5b04f802-078d-4b7e-b7a8-ef60e0ca75e1	91337469	91350099	rev
chr4	102028286	102030041	6ad2b8ab-2952-4171-b631-aff89aae5b4e	102026438	102033953	rev
chr4	115095469	115100537	294916d4-8e4a-4fb9-9bf2-200ce6c33eae	115093477	115104383	rev
chr4	131412701	131413969	5edee8e4-0026-49a4-a183-54afdcc9f3a1	131405551	131416657	rev
chr4	146643401	146646579	51f2e6bf-5e43-4dde-bd22-f42b81ad8d6b	146643397	146659142	fwd
chr4	156152392	156154622	576f6107-9418-4750-9d83-2c0c697d9872	156148790	156162494	rev
chr4	162028978	162031565	9a66686b-bce5-4fe4-93ef-f4c05e1fd1a5	162025265	162037654	rev
chr4	183050362	183054179	564a20bc-402e-4607-9def-23466f01286d	183043902	183054183	rev
chr4	187315506	187316656	52a22c28-f0bc-4640-857f-919d2df3bd3c	187312614	187319437	fwd
chr5	7964496	7965639	d44d7c46-1a97-4492-909b-f5e18784aead	7964490	7972089	rev
chr5	9717280	9720497	176d4ddf-7f3c-4661-8e8b-af5c061f97ce	9714939	9723149	fwd
chr5	10248368	10249963	461322d5-f140-4df3-b303-40757e35db46	10244787	10253027	rev
chr5	21811168	21812349	8c01152f-6ea8-44ab-ac85-3af48dbbbd5b	21808136	21817012	fwd
chr5	27734969	27737144	e28edb1e-5a40-4f86-9af0-edebe4858908	27729809	27737150	fwd
chr5	27880472	27882264	d2c24f64-a5b4-4bde-9999-1000b59fdbac	27879215	27886505	fwd
