chromosome	termination_start	termination_end	readID	read_start	read_end	strand	sample
chr2	130882909	130891007	aab1b2e8-a725-42d4-97da-83c7633ca194	130864767	130896953	fwd	UWB_Cisp0
chr20	31066213	31066213	b827eb66-d485-4029-b11d-343cb518a445	31051508	31068512	fwd	UWB_Cisp0
chr20	31083135	31083135	f9fe5dcf-390f-4291-9d20-bd9f2617158f	31077911	31089028	fwd	UWB_Cisp0
chr20	53849538	53849538	62cc2ff9-4d19-479a-8931-3baa981e67c1	53813774	53854598	rev	UWB_Cisp0
chr3	100347137	100347137	8002bd8a-29b3-4107-8785-a0c6943cc8af	100343222	100355612	rev	UWB_Cisp0
chr3	144008593	144008593	ed01e36a-023e-437a-be25-0139fe9c1c82	144001054	144014875	fwd	UWB_Cisp0
chr3	178963477	178963477	badfda65-a82a-472b-8dda-a7f5553cfb50	178957061	178969490	fwd	UWB_Cisp0
chr3	183517416	183517416	44c40c90-2797-4635-a743-9cc80dd965cf	183502882	183522236	rev	UWB_Cisp0
chr4	114149913	114149913	626715a5-8349-49f2-b3a5-4e1f40c0be7a	114145233	114154605	rev	UWB_Cisp0
chr5	8409990	8409990	fbc284f6-dacb-4068-9e4f-9fad5a941320	8401934	8424930	rev	UWB_Cisp0
chr5	43689250	43689250	e11657e6-0473-446e-abf2-cd733773db06	43683111	43698546	rev	UWB_Cisp0
chr5	153604061	153604061	43768f4f-0e81-4822-a309-d9cefb3105f7	153601431	153610893	rev	UWB_Cisp0
chr7	878395	878395	0bbafe77-83fe-40bb-a1c8-ad8772a0fff8	862965	885061	fwd	UWB_Cisp0
chr8	35019440	35019440	32245596-e000-4556-91e0-5d5f016382a4	35005786	35033284	fwd	UWB_Cisp0
chr10	41875063	41875063	42a21ae2-7697-433e-950c-ad0cd9f9a914	41862729	41880440	fwd	UWB_Cisp0
chr10	41876710	41876710	cf1a7980-23b2-4ad1-aebe-d0dccd3a81c1	41867290	41883450	fwd	UWB_Cisp0
chr10	41894870	41894870	5f518075-7a9f-4302-9000-3988f697b85a	41887180	41916265	fwd	UWB_Cisp0
chr12	53272922	53272922	c8a051b2-a001-4f53-86f3-7356f7d30cfb	53263351	53279391	fwd	UWB_Cisp0
chr13	34188694	34188694	5a185b06-a655-4757-9732-ce5bbec6da14	34185234	34196553	fwd	UWB_Cisp0
chr13	87887103	87887103	f2df1d86-5e49-40c7-8708-cc2070217239	87871544	87902315	fwd	UWB_Cisp0
chrX	15327321	15327321	43c49547-5892-418d-82f0-fdc05b07a350	15324912	15335898	fwd	UWB_Cisp0
chr1	143209322	143209322	193bf75f-0e1c-44c6-8fca-408e237b3036	143200062	143221953	fwd	UWB_Cisp1
chr1	143223403	143223403	1175b148-7b5f-4b1f-8fbe-6319b8ae4dac	143213022	143233430	fwd	UWB_Cisp1
chr16	46389339	46389339	dedaee74-ebc4-44fa-b1ca-96c4f33d9654	46383095	46405953	fwd	UWB_Cisp1
chr16	46396248	46396248	75474515-1f22-4d50-9974-6fcf4abc68aa	46385624	46400636	rev	UWB_Cisp1
chr16	46396612	46396612	cc937f93-59bf-4313-abd2-74bf6ec27c68	46387304	46403452	rev	UWB_Cisp1
chr16	46392675	46392675	d0a6557a-4255-4494-baa3-3994a8cbd40a	46387385	46401758	rev	UWB_Cisp1
chr20	31069870	31069870	d34b4690-21f8-4bba-a863-8b67b263e57c	31063974	31076455	rev	UWB_Cisp1
chr22	10714364	10714364	9f101ffd-d1a9-4c89-87bf-a205bfc07bd9	10707713	10721203	fwd	UWB_Cisp1
chr4	49152527	49152527	d51541e7-3790-4277-a351-393f1ec2a5c5	49143801	49156884	rev	UWB_Cisp1
chr4	49153998	49153998	d08c3943-301d-44ad-ab11-be946ba595d7	49147652	49166764	fwd	UWB_Cisp1
chr10	41894748	41894748	1276f8ab-f5fa-486b-870d-e6298d49cc4f	41868704	41904172	fwd	UWB_Cisp1
chr10	41880536	41880536	e090b315-f9b9-460d-bd87-24c93c0092b1	41877294	41891012	fwd	UWB_Cisp1
chr10	41886460	41886460	e069bf96-bb9a-4028-94ff-daffb9495af5	41878527	41910681	rev	UWB_Cisp1
chr10	41885776	41885776	b8d7d44c-392a-4af3-950a-fea1595b347f	41880803	41892301	rev	UWB_Cisp1
chr10	41890132	41890132	44c3c2b3-ac54-494d-bb72-1ef31cbd544a	41881793	41895226	fwd	UWB_Cisp1
chr10	41890523	41890523	d22d5ffc-1ba1-4f48-9f79-1a8c314d24d4	41883037	41900378	fwd	UWB_Cisp1
chr10	41908168	41908168	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	41893512	41916263	fwd	UWB_Cisp1
chr10	55910142	55910142	9af2a3e8-f98d-4594-986c-15a0737d61cd	55906381	55921498	fwd	UWB_Cisp1
