chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	stall_score	fork_direction
chr20	31061982	31067019	823c84cb-a2c8-433f-9ca1-0989911fa63f	31060559	31074876	fwd	3148	-3	left
chr20	31063272	31070709	b73a02bb-4e58-4ddd-95f4-54179b351040	31060926	31076599	fwd	6550	-3	left
chr20	31062802	31068794	cf5ad76d-1cc8-44a0-9891-81d4fca86b29	31061278	31074395	fwd	5326	-3	left
chr20	31064047	31068508	db750b1a-317a-4272-b4d1-b5484001ee55	31062880	31070870	fwd	3968	-3	left
chr20	31072462	31080047	5765bb02-f4bc-4841-a3dd-d0549beccec5	31062827	31080055	fwd	7887	-1	left
chr20	31070819	31076698	987b3e97-05d9-4580-b47b-25959c7f976c	31070424	31077689	fwd	6058	-3	left
chr20	31186493	31192035	eba14b76-518e-4113-b283-21b9e81a845d	31186431	31192040	rev	5644	-3	left
chr22	10722633	10729368	50c67c49-29a1-439b-b234-793216a8b362	10722460	10740157	rev	5859	-3	left
chr22	26613094	26623722	e3c880be-1cb2-4c03-9467-1dd7f96f0618	26613062	26623912	fwd	10566	-3	left
chr22	31515018	31520935	8c702685-9c72-4555-b5dd-696c32c8d6b3	31515014	31530311	fwd	5860	-3	left
chr3	89381866	89387263	50ec97b4-ec50-42be-b1d6-dd154610b95d	89381861	89387275	rev	5362	-3	left
chr3	110689941	110701353	42bc603c-43b3-4b54-8534-24d4b3be9d06	110689935	110701986	fwd	11358	-3	left
chr3	156752553	156758581	db94fcf0-7867-4998-a5df-ef088d92006c	156752549	156758588	fwd	5999	-3	left
chr3	171249965	171256727	9dc858dd-1528-4d1e-857b-add170a7ebb0	171249961	171256736	fwd	6751	-3	left
chr3	187640562	187649884	476d8188-c35c-4f5f-8403-d1b6179034c4	187640528	187650858	fwd	9264	-3	left
chr3	190014122	190020906	fd838802-3999-4fdb-9cbe-1a793a2df89f	190013364	190020914	rev	6733	-3	left
chr4	49106287	49114646	929594ee-f6bc-4592-b72b-05358679b18e	49097071	49114651	fwd	7795	-1	left
chr4	49129089	49134959	e427b7f1-d950-4fac-b848-131909a50cb6	49107058	49134966	rev	5041	-3	left
chr4	49143634	49147614	c758e69e-862b-4188-be0a-0ddeaa70e04a	49138579	49147794	fwd	3991	-1	left
chr4	49153869	49156624	7a524d78-d6fe-4e1f-aa23-54c7b81ef930	49146922	49156630	fwd	2616	-3	left
chr4	49152352	49156088	07d689f1-70c0-472a-970e-f464128d65f1	49150017	49156631	fwd	3731	-1	left
chr4	98499316	98506374	ac915d5b-f5a9-4569-a9bb-0958e3177b90	98498467	98506389	rev	7034	-3	left
chr4	127717447	127721192	151fffa6-2199-4980-8797-20135958702d	127716357	127723175	fwd	3732	-3	left
chr5	13548156	13553483	52d5758c-7e7c-4948-b5f9-7c7baf81de40	13548151	13558606	fwd	5305	-3	left
chr5	20635274	20645781	b89c004b-caea-4fd7-9cbd-c83441cce597	20635268	20660380	rev	10493	-3	left
chr5	49656713	49661865	ba414ecb-e26a-4a26-9abd-c8f7dab30d67	49656261	49661871	fwd	6185	-3	left
chr5	49656297	49661865	205d9343-d4a7-4bce-b352-2d9036302dee	49656291	49661871	fwd	6235	-3	left
chr5	90840480	90853677	0aee33e1-34bf-4052-87fc-5e5aa2899391	90840476	90859379	fwd	13128	-3	left
chr5	148775114	148781788	133b4ea9-9a3c-4a2a-a689-69909fc56364	148775103	148786615	fwd	6678	-3	left
chr6	39032961	39041366	705154fc-e7ec-4b28-a3d3-944db03975e0	39032719	39051870	rev	8458	-3	left
chr6	139443981	139453909	917d68bf-18e9-45a4-801a-08996dd86600	139443976	139453922	rev	9859	-3	left
chr6	155409734	155416565	519bc4f8-31a1-4230-a415-c71f53c0ecb8	155401203	155418640	fwd	6796	0.544494	left
chr7	51320538	51332167	c75c98c4-f2bc-4b35-b665-8772c6c48d8b	51319937	51332399	fwd	11583	-3	left
chr7	149520964	149529501	4f9a4b3b-86a8-4508-9ab1-004f912d5251	149520958	149530053	rev	8459	-3	left
chr8	34433454	34441422	e3316999-cb25-4cde-8553-431fcf241cf9	34433441	34449599	rev	7936	-3	left
chr8	34444527	34462784	f950fcc5-f75b-4221-af62-ea44fbc1a53c	34444143	34478345	rev	18173	-3	left
chr8	55284214	55286745	dfb993a8-21b4-477a-b1b3-0c7be22ab3d6	55281667	55293030	rev	2460	-1	left
chr8	79410043	79414027	8a650ead-2424-43b4-90c1-14c33a740200	79410037	79415397	fwd	3971	-3	left
chr8	80352555	80368019	12e3ee27-bcb0-4b0a-9c07-86f5ed7ddeb1	80352548	80368100	rev	15410	-3	left
chr9	2073652	2096298	e549dc16-f0dd-406d-85a0-2840da3d24c1	2073648	2096800	fwd	22408	-3	left
chr9	11059259	11065816	4e7f16c9-10e7-4ac6-8d7f-d1c056f2af84	11056839	11065823	rev	6557	-3	left
chr9	16660132	16665599	5d79dcc0-b962-4ddf-9a31-a32e34d5110b	16660123	16665603	rev	5477	-3	left
chr9	43319128	43321975	0716c11a-56c1-4d64-8601-a38d333b0186	43315876	43332174	rev	2590	-3	left
chr9	97115680	97123393	d1aaf4ae-8c05-478b-a2d4-863c542e8959	97115674	97124931	rev	7697	-3	left
chr9	131240454	131247744	d2dcac35-06c9-4fbf-96ec-cafc1bff84ca	131239581	131253779	rev	7293	-3	left
chrX	90103436	90109754	f0cd8d96-274a-478a-ae5a-7023b99182a4	90103425	90121681	fwd	6320	-3	left
chrX	119650929	119669785	57fd5ef4-ef1f-4a4c-9002-2a1a3725d724	119649029	119669791	fwd	18753	-3	left
chrX	152886441	152896294	bf81299c-2cf3-4729-bbdb-6b2af8215c49	152886435	152901463	fwd	9799	-3	left
chr1	73809958	73814594	2a4b3a44-e0da-4e6a-8078-811115952dfe	73803858	73814612	rev	4606	-3	right
chr1	143192555	143206327	9b3ae007-4163-42a5-9ed8-3b84e911465b	143184598	143242855	fwd	5912	0.185321	right
chr1	143212395	143220898	4b4101b4-ef9e-4851-b761-01e72725a8a9	143212389	143221737	rev	7099	-3	right
chr1	148594912	148602065	82a33d7f-b7e2-4fe5-92d8-808a7e633b04	148592873	148605341	rev	7145	-3	right
chr10	38489454	38518733	9282c5f7-43d1-421a-b337-3d427128c8ad	38489442	38518739	rev	29279	-3	right
chr10	41903738	41915868	806468f6-34ea-4e3b-b26f-3752e716a4a3	41889467	41916262	fwd	12955	-3	right
chr10	57386603	57395212	39efdaff-2d2a-488d-931b-e4c1d05cb425	57386599	57408582	fwd	8632	0.172961	right
chr11	20994982	21000142	295f53e3-2637-464c-93bb-c8c3c0139a88	20991788	21000147	rev	5143	-3	right
chr11	76429194	76436694	008b7da8-868f-4ed7-afee-86bb5689766e	76429188	76436698	rev	7526	-3	right
chr11	121843138	121850634	e3db3f54-2b4c-4c91-950e-c89928364545	121843122	121850639	fwd	7480	-3	right
chr13	60632641	60645613	30fe0e7d-8e73-4a58-bc55-53e693c93e81	60632630	60645623	rev	12927	-3	right
chr13	95555271	95561744	d8c7c9fb-62be-4a73-ba20-7c2805b1e4a7	95555262	95561754	fwd	6390	-3	right
chr14	47669275	47680963	8a9fb653-87e8-4c0a-b834-b49ca229ea32	47669268	47681881	rev	11621	-3	right
chr14	55107371	55114069	2894c308-cf51-420b-81ec-fb72c8d781c6	55103150	55114075	rev	6673	-3	right
chr15	38105449	38112386	44483b1c-32f6-4063-b1f8-ff5d9bfe965a	38105445	38112391	fwd	6889	-3	right
chr15	74286575	74291081	bf8b52c8-2487-4b25-8744-b5b953443eaf	74278785	74296638	fwd	4502	-3	right
chr16	59954272	59966802	ea45ebad-9f66-4ac9-bb9c-8228ef34e13e	59954268	59969937	fwd	12533	-3	right
chr17	60527389	60538530	ad5e1496-14bb-4acb-8786-4951f88d647f	60527329	60538536	fwd	11147	-3	right
chr17	62375787	62388430	29ebbdac-91f3-4029-ace8-654692152ac7	62375780	62389111	fwd	12574	-3	right
chr17	77133094	77142265	bc5f3670-61ec-4a4f-9276-cd9ffe2ef8db	77130834	77142269	rev	9154	-3	right
chr17	81874886	81887925	df242f5a-c888-4f48-acd0-c877b742e936	81874877	81888713	fwd	13030	-3	right
chr2	6806029	6810770	97b1e809-1a13-442c-8d5b-eef9cc2e20aa	6806011	6821640	rev	4714	-3	right
chr2	13712491	13722492	d41eb29d-8e18-474f-b0ca-e03f8bc381dc	13712484	13723732	rev	9985	-3	right
chr2	66368177	66375660	cdfdd430-5e95-4474-9bc3-dac05199fbe2	66365449	66375666	fwd	7415	-3	right
chr2	70717226	70725598	6d541010-8595-40d7-b10d-6b26ce384e79	70716705	70725607	fwd	8350	-3	right
chr2	87418768	87423314	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	2069	-1	right
chr2	87426502	87429372	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	2527	-3	right
chr2	87418715	87421312	c84535dc-6268-46fd-be82-a3be81f683f2	87414111	87431213	fwd	1554	-3	right
chr2	157311808	157315676	cbd9a9b9-f702-43b6-9a7d-e9310b911a7f	157305539	157315680	rev	3828	-3	right
chr2	165085761	165098306	588a4d8a-de31-4fb3-a831-e7d131b6d029	165083102	165098311	fwd	12451	-3	right
chr20	31066979	31072412	c59646d1-1a2e-4dc9-b3ac-a8a4e723074f	31057030	31077103	fwd	3579	-1	right
chr20	31074172	31076903	66898fd7-e415-4940-8f7c-ee35a2bbffc3	31058143	31080766	fwd	2714	-3	right
chr20	31068794	31073577	cf5ad76d-1cc8-44a0-9891-81d4fca86b29	31061278	31074395	fwd	2651	-3	right
chr20	31066065	31068548	4bf04e73-f124-49fc-8a41-cb5f916ea27f	31061684	31073324	fwd	1404	-3	right
chr20	31068113	31073622	4cba34c0-ce07-42ba-86e8-974652690a96	31062225	31075122	fwd	4528	-3	right
chr20	31062717	31066649	4dd6130d-c781-4eb7-a564-a0d18c493f00	31062709	31071061	fwd	3476	-3	right
chr20	31062832	31072462	5765bb02-f4bc-4841-a3dd-d0549beccec5	31062827	31080055	fwd	9961	-1	right
chr20	31063747	31067808	8b98797d-7498-42d5-89c7-0e83e2dc04f2	31063739	31074628	fwd	3266	-3	right
chr20	48042500	48050647	d646da7d-4e2e-4d68-ae55-f404c41a4864	48041716	48050655	fwd	8143	-3	right
chr21	16014303	16021379	8e17b848-94f0-4683-9e52-e42c4b0bf0c8	16014297	16029881	rev	7045	-3	right
chr3	12413012	12420943	f57b39ae-f12a-4804-abc3-c71894b921f9	12409554	12420960	fwd	7934	-3	right
chr3	15723199	15732353	e5f76704-b904-4931-88c3-085ce4d38f00	15717169	15732357	rev	9076	-3	right
chr3	29223856	29231429	7fa7380b-25bc-449b-8941-0af35fe19253	29223851	29231445	rev	7530	-3	right
chr3	61464923	61476781	bf91a270-8519-4bc4-972c-976f67380c20	61464917	61476787	fwd	11867	-3	right
chr3	82257601	82263789	6a4cfe82-b33a-4a83-ac6a-e5283cafea01	82257591	82263795	rev	6143	-3	right
chr3	90065969	90079414	7bc1fcb4-8b91-44db-afcd-b983f4435ee5	90061856	90081651	rev	13359	-3	right
chr3	108900023	108907779	8b1ff379-c490-4bca-9176-5b29c056b1ab	108900014	108907785	rev	7750	-3	right
chr3	164019005	164025083	c66b99a2-2fa7-460c-b709-266e0c4ba9cb	164018996	164025324	fwd	6028	-3	right
chr3	178121034	178132069	c851c878-1100-4b02-af42-38fe6ebb5f05	178121028	178132077	rev	11059	-3	right
chr3	191321987	191327754	bc65e83c-96e5-4a78-b464-5c733c25bedb	191321355	191327759	fwd	5780	-3	right
chr4	23661638	23674404	57c852de-c09e-4b83-877c-36d1cd9bf382	23661634	23674409	fwd	12713	-3	right
chr4	49097680	49106287	929594ee-f6bc-4592-b72b-05358679b18e	49097071	49114651	fwd	7927	-1	right
chr4	49104856	49107949	b2593206-8336-4575-bd73-493cefe6bc04	49100347	49112659	rev	2669	-3	right
chr4	49120152	49123437	e427b7f1-d950-4fac-b848-131909a50cb6	49107058	49134966	rev	2912	-3	right
chr4	49141063	49143634	c758e69e-862b-4188-be0a-0ddeaa70e04a	49138579	49147794	fwd	2685	-1	right
chr4	49149516	49154107	cb51dc8e-0ff1-4c91-bbfc-728326309f3a	49149062	49154695	rev	3418	-3	right
chr4	49146928	49150390	7a524d78-d6fe-4e1f-aa23-54c7b81ef930	49146922	49156630	fwd	3235	-3	right
chr4	49150021	49152352	07d689f1-70c0-472a-970e-f464128d65f1	49150017	49156631	fwd	2199	-1	right
chr4	49638927	49642861	67175fa9-c49f-4df0-aa84-49ad73aa29f6	49631416	49643782	fwd	797	-3	right
chr4	49634498	49641063	42df64e0-6422-42d2-b98a-c0e448f0997e	49633508	49647877	fwd	4673	-3	right
chr4	90224191	90234109	d0765916-b54e-4a14-a392-a5eec988dfc8	90223105	90235803	rev	9891	-3	right
chr4	174038117	174041966	e6267fb1-7a09-4d4f-a007-3ef21ee14bd6	174036297	174051135	rev	3753	-3	right
chr5	18013002	18020081	b6def09d-0587-4906-a8ff-698d62c19a91	18012992	18023670	rev	7050	-3	right
chr5	32416836	32427609	38797131-1eec-4841-a8e9-09a3217f9759	32416624	32427638	fwd	10745	-3	right
chr5	49656557	49660505	9e40bf76-70c5-4875-99a8-b5a78d5a1d17	49656261	49661871	rev	4399	-3	right
chr5	49657603	49660738	4325e642-1dc1-4c24-8a99-7d3b388824ad	49656261	49661871	rev	3073	-3	right
chr5	77646182	77653819	8a8b156e-81d3-429e-88cc-24710f941378	77641444	77653825	rev	7618	-3	right
chr5	129834312	129838206	fa4959c3-1478-4815-922d-8e3c5343aa0b	129833754	129839327	rev	3863	-3	right
chr5	176966609	176972344	a24dce28-97cb-4526-a18b-34e88404ba8a	176964987	176975464	fwd	5709	-3	right
chr6	83095384	83104181	fd3ce4ea-a4cf-4752-981c-f45101ccd6df	83094529	83104187	fwd	8770	-3	right
chr6	106943793	106953775	1d8fe8c5-3971-4b0e-b7a6-d0baf7b9b252	106943072	106954596	fwd	9941	-3	right
chr7	16221897	16226592	04f105f1-df1c-43e1-b8e9-5272551e0656	16210792	16229439	rev	4666	-3	right
chr7	55866846	55874983	dbfe91e0-5f3f-46b3-8768-82859d592fd5	55863236	55875946	rev	8110	-3	right
chr7	65414829	65431091	4df59453-4664-4809-8368-a231bab30216	65414823	65442490	rev	16075	0.449846	right
chr7	91362567	91371717	84b24637-918a-4ff1-aa62-2ce4a33a0efc	91361574	91371721	rev	9095	-3	right
chr7	121438081	121447151	ea574a80-914f-4db3-8e37-37a984914b88	121437806	121447156	fwd	9396	-3	right
chr7	139579337	139592907	ce41c8a5-286e-4da5-ada0-c8664c2457c8	139568948	139593245	rev	13511	-3	right
chr7	153479294	153487410	cc48d77e-b8a7-49f9-95d1-04824c456237	153478039	153490807	rev	8064	-3	right
chr8	4249072	4253884	148de6b4-9b14-47e5-82a6-13d6fdc62dad	4247756	4254942	fwd	4826	-3	right
chr8	12602966	12611320	c25227b3-551b-45e5-9e02-1d18546e7c7f	12597437	12622255	rev	8311	0.391925	right
chr8	55281674	55284214	dfb993a8-21b4-477a-b1b3-0c7be22ab3d6	55281667	55293030	rev	2476	-1	right
chr8	59270799	59285242	fa3a4f42-1239-48b1-a26c-f0b94cb70e4e	59270784	59285248	fwd	14347	-3	right
chr8	98225926	98239577	23b59736-7dff-497c-bc61-75e59a7ba2ac	98225459	98240969	rev	13544	-3	right
chr8	101196318	101201629	0dadfaec-d68a-4746-869a-d581b9bf321f	101193469	101201635	rev	5287	-3	right
chr8	120256424	120267856	3e58ec32-a960-4a3b-9683-9c0f327be6cb	120256414	120267861	fwd	11376	-3	right
chr9	95684796	95697382	cae5b409-6d9f-4f0c-86db-c32d241be0ee	95684791	95698213	fwd	12497	-3	right
chr9	106619996	106638466	ca363780-17e5-4578-981b-b748c2f5b628	106619990	106639207	rev	18365	-3	right
chrX	67547550	67552542	95fb972d-5e16-4cdc-ac8b-5fabf7c992e0	67543346	67552548	fwd	4944	-3	right
chrY	56857332	56868586	fdd136b5-5c15-4e14-84d8-c06809e204d8	56856819	56868590	rev	11122	-3	right
