sample	chromosome	analogue	n_reads	n_positive_reads	total_labelled_bp	mean_bp	sd_bp	minimum_bp	q1_bp	q2_median_bp	q3_bp	q4_maximum_bp
OV3_Cisp0	chr20	BrdU	53	53	294529	5557.15	4069.04	1069	2139	4684	7961	17449
OV3_Cisp0	chr20	EdU+BrdU	53	53	487456	9197.28	4510.27	2478	6038	8012	12360	19547
OV3_Cisp0	chr21	EdU	40	40	134540	3363.5	2013.59	1022	1793.75	3043	4270.5	10692
OV3_Cisp0	chr21	BrdU	40	40	210941	5273.52	3484.54	1015	2590	4306	7516.25	14579
OV3_Cisp0	chr21	EdU+BrdU	40	40	345481	8637.02	4209.9	2889	5749.75	8047.5	10497.5	21906
OV3_Cisp0	chr22	EdU	21	21	73074	3479.71	1901.02	1001	1832	3354	4231	7997
OV3_Cisp0	chr22	BrdU	21	21	108491	5166.24	3021.66	1054	3307	4276	7188	11748
OV3_Cisp0	chr22	EdU+BrdU	21	21	181565	8645.95	3691.18	2055	6248	8214	10537	15855
OV3_Cisp0	chr3	EdU	171	171	623018	3643.38	1860.48	938	2217	3534	4736.5	10759
OV3_Cisp0	chr3	BrdU	171	171	1104494	6459.03	4288.15	1019	3528	5258	8681.5	21226
OV3_Cisp0	chr3	EdU+BrdU	171	171	1727512	10102.41	4757.44	3010	6580.5	9156	12438.5	29094
OV3_Cisp0	chr4	EdU	115	115	424677	3692.84	2310.28	1008	2276.5	3448	4389	20529
OV3_Cisp0	chr4	BrdU	115	115	713668	6205.81	4835.3	1010	2937	4936	7930	27533
OV3_Cisp0	chr4	EdU+BrdU	115	115	1138345	9898.65	5447.81	2341	5897.5	8371	12583.5	31762
OV3_Cisp0	chr5	EdU	131	131	461486	3522.79	1848.32	1026	2363	3428	4489.5	16332
OV3_Cisp0	chr5	BrdU	131	131	872677	6661.66	4575.11	1054	3279.5	5695	9389.5	26724
OV3_Cisp0	chr5	EdU+BrdU	131	131	1334163	10184.45	4708.28	2489	6838	9384	12580.5	32634
OV3_Cisp0	chr6	EdU	92	92	356109	3870.75	1677.85	1174	2625.25	3705.5	4831.75	11814
OV3_Cisp0	chr6	BrdU	92	92	620637	6746.05	4582.13	1053	3739.75	5251	8916.5	24790
OV3_Cisp0	chr6	EdU+BrdU	92	92	976746	10616.8	4993.05	4115	7346.75	9101.5	12520.5	29429
OV3_Cisp0	chr7	EdU	75	75	274860	3664.8	1841.89	986	2477.5	3416	4559	10734
OV3_Cisp0	chr7	BrdU	75	75	479900	6398.67	4555.53	1064	3096	4904	8768.5	23241
OV3_Cisp0	chr7	EdU+BrdU	75	75	754760	10063.47	5068	2093	6378.5	8946	13197	25836
OV3_Cisp0	chr8	EdU	110	110	400470	3640.64	2014.11	1070	2255.25	3327.5	4471.75	10748
OV3_Cisp0	chr8	BrdU	110	110	746528	6786.62	5156.32	1054	3382.75	5379	9046.5	31758
OV3_Cisp0	chr8	EdU+BrdU	110	110	1146998	10427.25	5816.99	2569	6248.25	9073	12950.75	35006
OV3_Cisp0	chr9	EdU	76	76	260416	3426.53	1642.69	1006	2208.5	3447.5	4429	8937
OV3_Cisp0	chr9	BrdU	76	76	503878	6629.97	5074.04	1015	3561.5	4689	8741	25785
OV3_Cisp0	chr9	EdU+BrdU	76	76	764294	10056.5	5088.35	2187	6688.75	8483	12466.25	28956
OV3_Cisp0	chrX	EdU	75	75	271726	3623.01	2332.39	1041	2304	3464	4308	18785
OV3_Cisp0	chrX	BrdU	75	75	484778	6463.71	4507.85	1137	2917.5	5344	8560	20591
OV3_Cisp0	chrX	EdU+BrdU	75	75	756504	10086.72	5328.66	3631	6018	8662	12600	28402
OV3_Cisp0	chrY	EdU	4	4	11435	2858.75	1554.78	1062	1811.25	3056.5	4104	4260
OV3_Cisp0	chrY	BrdU	4	4	11146	2786.5	2197.44	1021	1655.5	2068	3199	5989
OV3_Cisp0	chrY	EdU+BrdU	4	4	22581	5645.25	3365.22	2083	3768.25	5228.5	7105.5	10041
OV3_Cisp1_masked	chr1	EdU	9	9	25832	2870.22	2928.42	1022	1043	1434	3882	9794
OV3_Cisp1_masked	chr1	BrdU	9	9	24871	2763.44	1873.12	1101	1282	1551	3989	6020
OV3_Cisp1_masked	chr1	EdU+BrdU	9	9	50703	5633.67	3716.26	2123	2790	5587	7050	13772
OV3_Cisp1_masked	chr10	EdU	7	7	12912	1844.57	917.01	1027	1256	1531	2149.5	3543
OV3_Cisp1_masked	chr10	BrdU	7	7	55581	7940.14	8429.48	1113	4030.5	4431	7883	26210
OV3_Cisp1_masked	chr10	EdU+BrdU	7	7	68493	9784.71	8082.83	3768	5708	7360	9218.5	27512
OV3_Cisp1_masked	chr11	EdU	6	6	16056	2676	1396.23	1145	1467.5	2659	3843.75	4284
OV3_Cisp1_masked	chr11	BrdU	6	6	25374	4229	2557.84	1426	2790.5	3392.5	5443.5	8446
OV3_Cisp1_masked	chr11	EdU+BrdU	6	6	41430	6905	3592.58	3243	4387.25	5944	8761.5	12730
OV3_Cisp1_masked	chr12	EdU	6	6	17192	2865.33	2356.01	1233	1315.75	1612	3841	6934
OV3_Cisp1_masked	chr12	BrdU	6	6	28511	4751.83	3611.42	1226	2438.5	4008.5	5547.75	11292
OV3_Cisp1_masked	chr12	EdU+BrdU	6	6	45703	7617.17	3677.23	2694	5230.5	8087.5	9152.75	13048
OV3_Cisp1_masked	chr13	EdU	4	4	14049	3512.25	2012.4	1371	2022	3610	5100.25	5458
OV3_Cisp1_masked	chr13	BrdU	4	4	18237	4559.25	941.49	3695	4103.75	4323	4778.5	5896
OV3_Cisp1_masked	chr13	EdU+BrdU	4	4	32286	8071.5	2114.48	5066	7367.75	8761	9464.75	9698
OV3_Cisp1_masked	chr14	EdU	2	2	4895	2447.5	1410.68	1450	1948.75	2447.5	2946.25	3445
OV3_Cisp1_masked	chr14	BrdU	2	2	11566	5783	4125.26	2866	4324.5	5783	7241.5	8700
OV3_Cisp1_masked	chr14	EdU+BrdU	2	2	16461	8230.5	2714.58	6311	7270.75	8230.5	9190.25	10150
OV3_Cisp1_masked	chr15	EdU	2	2	2418	1209	294.16	1001	1105	1209	1313	1417
OV3_Cisp1_masked	chr15	BrdU	2	2	6860	3430	2438.1	1706	2568	3430	4292	5154
OV3_Cisp1_masked	chr15	EdU+BrdU	2	2	9278	4639	2732.26	2707	3673	4639	5605	6571
OV3_Cisp1_masked	chr16	EdU	1	1	1756	1756	NA	1756	1756	1756	1756	1756
OV3_Cisp1_masked	chr16	BrdU	1	1	10477	10477	NA	10477	10477	10477	10477	10477
OV3_Cisp1_masked	chr16	EdU+BrdU	1	1	12233	12233	NA	12233	12233	12233	12233	12233
OV3_Cisp1_masked	chr17	EdU	5	5	15125	3025	1934.85	1324	1391	2304	4476	5630
OV3_Cisp1_masked	chr17	BrdU	5	5	33403	6680.6	3580.36	2833	3415	7069	8809	11277
OV3_Cisp1_masked	chr17	EdU+BrdU	5	5	48528	9705.6	2046.49	7891	8460	8463	11113	12601
OV3_Cisp1_masked	chr18	EdU	1	1	2208	2208	NA	2208	2208	2208	2208	2208
OV3_Cisp1_masked	chr18	BrdU	1	1	7612	7612	NA	7612	7612	7612	7612	7612
OV3_Cisp1_masked	chr18	EdU+BrdU	1	1	9820	9820	NA	9820	9820	9820	9820	9820
OV3_Cisp1_masked	chr2	EdU	15	15	34475	2298.33	1092.14	1120	1373.5	2030	3055.5	4756
OV3_Cisp1_masked	chr2	BrdU	15	15	75455	5030.33	2792.34	1210	3634.5	4430	6410	11677
OV3_Cisp1_masked	chr2	EdU+BrdU	15	15	109930	7328.67	2993.85	3177	5269	6648	9393	14460
OV3_Cisp1_masked	chr20	EdU	22	22	58671	2666.86	2787.34	1004	1095	1942	2841.25	13404
OV3_Cisp1_masked	chr20	BrdU	22	22	35380	1608.18	570.02	1025	1171.25	1386.5	1902.5	3354
OV3_Cisp1_masked	chr20	EdU+BrdU	22	22	94051	4275.05	2713.22	2238	2828	3352.5	4760.75	14454
OV3_Cisp1_masked	chr21	EdU	1	1	4838	4838	NA	4838	4838	4838	4838	4838
OV3_Cisp1_masked	chr21	BrdU	1	1	1030	1030	NA	1030	1030	1030	1030	1030
OV3_Cisp1_masked	chr21	EdU+BrdU	1	1	5868	5868	NA	5868	5868	5868	5868	5868
OV3_Cisp1_masked	chr22	EdU	3	3	6088	2029.33	419.37	1553	1872.5	2192	2267.5	2343
OV3_Cisp1_masked	chr22	BrdU	3	3	12612	4204	3388.64	1484	2306	3128	5564	8000
OV3_Cisp1_masked	chr22	EdU+BrdU	3	3	18700	6233.33	3011.75	3676	4573.5	5471	7512	9553
OV3_Cisp1_masked	chr3	EdU	16	16	37050	2315.62	1017.6	1300	1571.75	1727	2824	4221
OV3_Cisp1_masked	chr3	BrdU	16	16	73201	4575.06	2502.71	1326	3523	3949.5	4809.25	11503
OV3_Cisp1_masked	chr3	EdU+BrdU	16	16	110251	6890.69	2257.45	3934	5453.75	6410.5	7523.5	12973
OV3_Cisp1_masked	chr4	EdU	14	14	39693	2835.21	2888.99	1018	1504.25	2229.5	2633.75	12414
OV3_Cisp1_masked	chr4	BrdU	14	14	38626	2759	1860.79	1047	1325	2584	2908	8128
OV3_Cisp1_masked	chr4	EdU+BrdU	14	14	78319	5594.21	3421.59	2617	3388.5	4874.5	5696.75	14879
OV3_Cisp1_masked	chr5	EdU	13	13	23979	1844.54	792.45	1002	1206	1703	2218	3460
OV3_Cisp1_masked	chr5	BrdU	13	13	41461	3189.31	1994.92	1003	1423	3609	4453	6826
OV3_Cisp1_masked	chr5	EdU+BrdU	13	13	65440	5033.85	2342.28	2105	2541	5274	6857	8371
OV3_Cisp1_masked	chr6	EdU	5	5	11126	2225.2	1755.12	1034	1134	1142	2709	5107
OV3_Cisp1_masked	chr6	BrdU	5	5	22261	4452.2	1440.16	3202	3543	3637	5300	6579
OV3_Cisp1_masked	chr6	EdU+BrdU	5	5	33387	6677.4	1582.58	4685	5911	6334	7713	8744
OV3_Cisp1_masked	chr7	EdU	9	9	31733	3525.89	3274.78	1075	1466	2488	3714	11633
OV3_Cisp1_masked	chr7	BrdU	9	9	37687	4187.44	2312.71	1123	2348	4581	6330	7543
OV3_Cisp1_masked	chr7	EdU+BrdU	9	9	69420	7713.33	3543.57	3611	4714	7687	11257	13002
OV3_Cisp1_masked	chr8	EdU	11	11	24012	2182.91	977.94	1003	1152.5	2370	2857	3612
OV3_Cisp1_masked	chr8	BrdU	11	11	56232	5112	3933.73	1156	1695.5	4041	8700.5	11120
OV3_Cisp1_masked	chr8	EdU+BrdU	11	11	80244	7294.91	4080.21	2778	3972	6589	10395	14516
OV3_Cisp1_masked	chr9	EdU	8	8	17244	2155.5	1149.81	1331	1458	1679.5	2251.75	4571
OV3_Cisp1_masked	chr9	BrdU	8	8	46757	5844.62	6159.53	1041	1563	2074	10287.25	16101
OV3_Cisp1_masked	chr9	EdU+BrdU	8	8	64001	8000.12	5827.71	2816	3553	5278	11768	17715
OV3_Cisp1_masked	chrX	EdU	4	4	9852	2463	1029.58	1854	1869	2001	2595	3996
OV3_Cisp1_masked	chrX	BrdU	4	4	21699	5424.75	5547.45	1732	2761.75	3140.5	5803.5	13686
OV3_Cisp1_masked	chrX	EdU+BrdU	4	4	31551	7887.75	5312.35	3586	4874.5	6202.5	9215.75	15560
OV3_Cisp1_masked	chrY	EdU	1	1	1276	1276	NA	1276	1276	1276	1276	1276
OV3_Cisp1_masked	chrY	BrdU	1	1	5368	5368	NA	5368	5368	5368	5368	5368
OV3_Cisp1_masked	chrY	EdU+BrdU	1	1	6644	6644	NA	6644	6644	6644	6644	6644
UWB_Cisp0	chr1	EdU	166	166	453667	2732.93	2998.35	1004	1581.25	2186.5	3256.25	37864
UWB_Cisp0	chr1	BrdU	166	166	662514	3991.05	2250.71	1028	2362.25	3653.5	4847.5	13374
UWB_Cisp0	chr1	EdU+BrdU	166	166	1116181	6723.98	3497.61	2482	4683.75	6168.5	8147.25	39107
UWB_Cisp0	chr10	EdU	70	70	183578	2622.54	1811	1013	1471.5	2037	2843	11032
UWB_Cisp0	chr10	BrdU	70	70	264341	3776.3	3375.97	1005	1668.25	2864.5	4688.75	23949
UWB_Cisp0	chr10	EdU+BrdU	70	70	447919	6398.84	3674.61	2040	3991.25	5562	7528.5	26792
UWB_Cisp0	chr11	EdU	78	78	179223	2297.73	1119.8	1006	1440.5	1907.5	2941.5	6575
UWB_Cisp0	chr11	BrdU	78	78	379368	4863.69	2678.52	1036	3008.5	4203.5	6336.25	12022
UWB_Cisp0	chr11	EdU+BrdU	78	78	558591	7161.42	2922.01	2582	4715	6516.5	9436.25	13706
UWB_Cisp0	chr12	EdU	81	81	186529	2302.83	947.2	1006	1523	2112	2908	4902
UWB_Cisp0	chr12	BrdU	81	81	350194	4323.38	2929.06	1077	2246	3515	5253	17754
UWB_Cisp0	chr12	EdU+BrdU	81	81	536723	6626.21	2984.14	2403	4755	5985	7770	20324
UWB_Cisp0	chr13	EdU	47	47	122594	2608.38	1254.63	1156	1596	2265	3321	5883
UWB_Cisp0	chr13	BrdU	47	47	224665	4780.11	3682.64	1192	2584	3967	5580.5	19581
UWB_Cisp0	chr13	EdU+BrdU	47	47	347259	7388.49	3744.47	2616	5110.5	6364	8525.5	21251
UWB_Cisp0	chr14	EdU	42	42	96150	2289.29	1112.79	1053	1352.5	2033.5	3075.25	4796
UWB_Cisp0	chr14	BrdU	42	42	189102	4502.43	3026.91	542	2380.5	3900	5694.5	14263
UWB_Cisp0	chr14	EdU+BrdU	42	42	285252	6791.71	3515.63	2167	4786.25	5918.5	8568	15940
UWB_Cisp0	chr15	EdU	41	41	96872	2362.73	1137.74	1002	1352	2062	3105	5094
UWB_Cisp0	chr15	BrdU	41	41	147836	3605.76	1626.37	1072	2438	3557	4580	8955
UWB_Cisp0	chr15	EdU+BrdU	41	41	244708	5968.49	2108.37	3260	4580	5500	6984	14049
UWB_Cisp0	chr16	EdU	67	67	228043	3403.63	3150.44	1118	1554.5	2474	3376.5	17754
UWB_Cisp0	chr16	BrdU	67	67	328854	4908.27	3181.9	1160	2389	3818	6876	14873
UWB_Cisp0	chr16	EdU+BrdU	67	67	556897	8311.9	4198.62	3101	5160	7694	10440	19788
UWB_Cisp0	chr17	EdU	36	36	79883	2218.97	807.28	1003	1588	2029.5	2770.75	4344
UWB_Cisp0	chr17	BrdU	36	36	156954	4359.83	2275.75	1203	2704.5	4101	5243.5	9515
UWB_Cisp0	chr17	EdU+BrdU	36	36	236837	6578.81	2191.89	3112	5060.5	6432.5	7688.25	11510
UWB_Cisp0	chr18	EdU	32	32	72702	2271.94	1022.23	1064	1487.75	1909	2916.75	4261
UWB_Cisp0	chr18	BrdU	32	32	141196	4412.38	2312.9	1181	2951	3964	4696.5	10614
UWB_Cisp0	chr18	EdU+BrdU	32	32	213898	6684.31	2344.84	2666	5410.75	6210.5	7680.5	13119
UWB_Cisp0	chr19	EdU	31	31	73954	2385.61	1077.67	1092	1500	2156	3048	5248
UWB_Cisp0	chr19	BrdU	31	31	150284	4847.87	2471.12	1232	2841	4583	6228.5	11967
UWB_Cisp0	chr19	EdU+BrdU	31	31	224238	7233.48	2726.92	2910	5153	6865	8875	13927
UWB_Cisp0	chr2	EdU	181	181	409781	2263.98	1076.31	1002	1452	1936	2925	5821
UWB_Cisp0	chr2	BrdU	181	181	839478	4638	2842.44	1054	2736	3815	5941	16166
UWB_Cisp0	chr2	EdU+BrdU	181	181	1249259	6901.98	3021.54	2174	4931	6121	8609	19117
UWB_Cisp0	chr20	EdU	52	52	136828	2631.31	1758.85	1004	1458.25	1921.5	3631	8950
UWB_Cisp0	chr20	BrdU	52	52	205451	3950.98	2984.57	1004	1620.5	3233.5	4791	16027
UWB_Cisp0	chr20	EdU+BrdU	52	52	342279	6582.29	3336.9	2236	4081.25	6425.5	8229.75	18678
UWB_Cisp0	chr21	EdU	18	18	43341	2407.83	1069.92	1004	1510.75	2375.5	3079.25	4307
UWB_Cisp0	chr21	BrdU	18	18	63284	3515.78	2255.78	1179	2082.25	2676	4215.75	8473
UWB_Cisp0	chr21	EdU+BrdU	18	18	106625	5923.61	2616.79	2880	3750	5445.5	7248.5	11232
UWB_Cisp0	chr22	EdU	20	20	50396	2519.8	1124.81	1093	1617.5	2331	3393.5	4841
UWB_Cisp0	chr22	BrdU	20	20	83209	4160.45	1829.14	1191	3087.5	3926.5	4985	7988
UWB_Cisp0	chr22	EdU+BrdU	20	20	133605	6680.25	2459.24	2623	5229.25	6753.5	7704.5	12367
UWB_Cisp0	chr3	EdU	152	152	373465	2457.01	1168.3	1010	1566.75	2327.5	3043	7632
UWB_Cisp0	chr3	BrdU	152	152	668933	4400.88	3008.76	1025	2424	3716	5317	23350
UWB_Cisp0	chr3	EdU+BrdU	152	152	1042398	6857.88	3134.41	2496	4644	6366	8141.5	25664
UWB_Cisp0	chr4	EdU	89	89	211683	2378.46	1161.62	1003	1400	2009	3024	6365
UWB_Cisp0	chr4	BrdU	89	89	417236	4688.04	3764.26	1170	2191	3826	5674	24718
UWB_Cisp0	chr4	EdU+BrdU	89	89	628919	7066.51	3752.26	2173	4871	6271	8528	26374
UWB_Cisp0	chr5	EdU	107	107	269019	2514.2	1352.44	1004	1486	2080	3263	8338
UWB_Cisp0	chr5	BrdU	107	107	451692	4221.42	3229.21	1057	1987.5	3559	5325.5	21257
UWB_Cisp0	chr5	EdU+BrdU	107	107	720711	6735.62	3524.02	2260	4420	6083	8075.5	23915
UWB_Cisp0	chr6	EdU	94	94	236075	2511.44	1171.33	1006	1612.75	2334	3128.25	7936
UWB_Cisp0	chr6	BrdU	94	94	410199	4363.82	2253.34	1084	2787.25	4005	5348.25	11298
UWB_Cisp0	chr6	EdU+BrdU	94	94	646274	6875.26	2332.07	2928	5132	6501.5	8308.5	12474
UWB_Cisp0	chr7	EdU	97	97	245372	2529.61	1181.36	1004	1625	2231	3538	6594
UWB_Cisp0	chr7	BrdU	97	97	434826	4482.74	3084.15	1076	2355	3810	5038	18293
UWB_Cisp0	chr7	EdU+BrdU	97	97	680198	7012.35	3313.86	2776	4805	6359	8256	20641
UWB_Cisp0	chr8	EdU	97	97	239927	2473.47	1134.88	1003	1486	2288	3324	5664
UWB_Cisp0	chr8	BrdU	97	97	379319	3910.51	2481.15	1016	2041	3593	4868	17803
UWB_Cisp0	chr8	EdU+BrdU	97	97	619246	6383.98	2768.84	2106	4413	6250	7766	19524
UWB_Cisp0	chr9	EdU	49	49	107016	2184	920.96	1001	1510	2184	2500	4912
UWB_Cisp0	chr9	BrdU	49	49	199058	4062.41	2254.45	1119	2751	3706	4824	11392
UWB_Cisp0	chr9	EdU+BrdU	49	49	306074	6246.41	2527.27	2654	4511	5966	6853	16304
UWB_Cisp0	chrX	EdU	47	47	122161	2599.17	1118.98	1019	1617.5	2385	3643.5	4798
UWB_Cisp0	chrX	BrdU	47	47	205763	4377.94	2379.23	1101	2388.5	3985	6080.5	8910
UWB_Cisp0	chrX	EdU+BrdU	47	47	327924	6977.11	2498.24	3180	5384.5	6441	8627.5	12789
UWB_Cisp0	chrY	EdU	2	2	7937	3968.5	374.06	3704	3836.25	3968.5	4100.75	4233
UWB_Cisp0	chrY	BrdU	2	2	3066	1533	193.75	1396	1464.5	1533	1601.5	1670
UWB_Cisp0	chrY	EdU+BrdU	2	2	11003	5501.5	567.81	5100	5300.75	5501.5	5702.25	5903
UWB_Cisp1	chr1	EdU	41	41	116233	2834.95	1738.58	1010	1603	2648	3498	9225
UWB_Cisp1	chr1	BrdU	41	41	152672	3723.71	2950.83	1032	1594	3026	4397	13945
UWB_Cisp1	chr1	EdU+BrdU	41	41	268905	6558.66	3517.03	2163	4040	5431	8214	18163
UWB_Cisp1	chr10	EdU	36	36	109063	3029.53	3374.25	1044	1609.75	2142	2618.25	20326
UWB_Cisp1	chr10	BrdU	36	36	121744	3381.78	2508.67	1004	1401	2422	4825.25	10254
UWB_Cisp1	chr10	EdU+BrdU	36	36	230807	6411.31	4182.32	2517	3460.5	4734	8334	22103
UWB_Cisp1	chr11	EdU	13	13	23108	1777.54	1040.86	1018	1211	1410	1913	4935
UWB_Cisp1	chr11	BrdU	13	13	56951	4380.85	1958.95	1664	2935	4530	4787	7894
UWB_Cisp1	chr11	EdU+BrdU	13	13	80059	6158.38	1715.63	2868	4987	5979	7493	8971
UWB_Cisp1	chr12	EdU	13	13	32362	2489.38	1100.17	1063	1620	2434	3332	4595
UWB_Cisp1	chr12	BrdU	13	13	55671	4282.38	3226.84	1625	2199	3290	5167	13671
UWB_Cisp1	chr12	EdU+BrdU	13	13	88033	6771.77	3308.64	3332	4417	5739	8262	15437
UWB_Cisp1	chr13	EdU	7	7	15821	2260.14	839.44	1482	1758	1793	2671	3688
UWB_Cisp1	chr13	BrdU	7	7	32519	4645.57	2507.9	1058	3118	4780	6418.5	7608
UWB_Cisp1	chr13	EdU+BrdU	7	7	48340	6905.71	2974.71	2851	4924	7866	8239.5	11296
UWB_Cisp1	chr14	EdU	10	10	23946	2394.6	1626.05	1111	1338.5	2037.5	2638.75	6581
UWB_Cisp1	chr14	BrdU	10	10	38583	3858.3	2939.62	1102	1544.25	3115.5	4480	9650
UWB_Cisp1	chr14	EdU+BrdU	10	10	62529	6252.9	2601.3	3176	4309.25	5835.5	7552	11230
UWB_Cisp1	chr15	EdU	17	17	37034	2178.47	1045.67	1026	1357	1897	2584	4479
UWB_Cisp1	chr15	BrdU	17	17	83776	4928	2527.28	1330	3028	4380	6329	9503
UWB_Cisp1	chr15	EdU+BrdU	17	17	120810	7106.47	2386.68	3647	5399	6716	8223	11519
UWB_Cisp1	chr16	EdU	23	23	71969	3129.09	2699.45	1021	1356	2024	3450.5	9713
UWB_Cisp1	chr16	BrdU	23	23	80525	3501.09	2369.64	1196	2283	3005	3786	12608
UWB_Cisp1	chr16	EdU+BrdU	23	23	152494	6630.17	3227.87	3021	4314.5	5566	7998	14582
UWB_Cisp1	chr17	EdU	9	9	21823	2424.78	2005.54	1013	1179	1456	2421	7085
UWB_Cisp1	chr17	BrdU	9	9	32080	3564.44	2155.67	1075	1880	3097	4618	7850
UWB_Cisp1	chr17	EdU+BrdU	9	9	53903	5989.22	2737.46	2353	3969	5778	8123	10182
UWB_Cisp1	chr18	EdU	13	13	28802	2215.54	1337.79	1034	1167	1955	2083	5881
UWB_Cisp1	chr18	BrdU	13	13	40186	3091.23	2174.09	1125	1807	2629	3486	9374
UWB_Cisp1	chr18	EdU+BrdU	13	13	68988	5306.77	2242.57	2974	3868	4520	5625	10507
UWB_Cisp1	chr19	EdU	5	5	8205	1641	453.27	1061	1319	1680	2010	2135
UWB_Cisp1	chr19	BrdU	5	5	20407	4081.4	2599.1	1009	2128	4090	5822	7358
UWB_Cisp1	chr19	EdU+BrdU	5	5	28612	5722.4	2486.14	2328	4138	6225	7502	8419
UWB_Cisp1	chr2	EdU	30	30	64347	2144.9	986.18	1011	1165	1958	2904.5	4849
UWB_Cisp1	chr2	BrdU	30	30	139750	4658.33	2187.81	1033	3290.5	4409.5	5714.75	9737
UWB_Cisp1	chr2	EdU+BrdU	30	30	204097	6803.23	2624	2184	4979	6360.5	8975	12625
UWB_Cisp1	chr20	EdU	24	24	50127	2088.62	1013.28	1055	1274.75	1860	2321	4472
UWB_Cisp1	chr20	BrdU	24	24	84722	3530.08	2424.87	1073	1378	3351	4533.75	11654
UWB_Cisp1	chr20	EdU+BrdU	24	24	134849	5618.71	2465.29	2418	3522.25	5520.5	6951	12783
UWB_Cisp1	chr21	EdU	7	7	18425	2632.14	991.65	1225	2092.5	2845	3101.5	3967
