chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction
chr4	49152352	49156088	07d689f1-70c0-472a-970e-f464128d65f1	49150017	49156631	fwd	3736	1120	524	0.15	0.339474	0.017751	0.727811	-1	left
chr4	98499316	98506374	ac915d5b-f5a9-4569-a9bb-0958e3177b90	98498467	98506389	rev	7058	1572	2884	0.070905	0.349633	0.033037	0.595934	-3	left
chr4	127717447	127721192	151fffa6-2199-4980-8797-20135958702d	127716357	127723175	fwd	3745	1906	1206	0.011858	0.238472	0.045738	0.440748	-3	left
chr5	13548156	13553483	52d5758c-7e7c-4948-b5f9-7c7baf81de40	13548151	13558606	fwd	5327	1061	1480	0	0.261745	0	0.73516	-3	left
chr5	20635274	20645781	b89c004b-caea-4fd7-9cbd-c83441cce597	20635268	20660380	rev	10507	2218	5625	0.048148	0.461111	0.020076	0.644359	-3	left
chr5	49656713	49661865	ba414ecb-e26a-4a26-9abd-c8f7dab30d67	49656261	49661871	fwd	5152	3460	1423	0.117982	0.595606	0.01996	0.692615	-3	left
chr5	49656297	49661865	205d9343-d4a7-4bce-b352-2d9036302dee	49656291	49661871	fwd	5568	1191	4083	0	0.923858	0.030282	0.670423	-3	left
chr5	90840480	90853677	0aee33e1-34bf-4052-87fc-5e5aa2899391	90840476	90859379	fwd	13197	1545	6826	0.006316	0.488421	0.014064	0.596993	-3	left
chr5	148775114	148781788	133b4ea9-9a3c-4a2a-a689-69909fc56364	148775103	148786615	fwd	6674	1002	1103	0	0.245192	0.002924	0.45614	-3	left
chr6	39032961	39041366	705154fc-e7ec-4b28-a3d3-944db03975e0	39032719	39051870	rev	8405	1134	6579	0	0.245283	0.005117	0.59693	-3	left
chr6	139443981	139453909	917d68bf-18e9-45a4-801a-08996dd86600	139443976	139453922	rev	9928	5107	3637	0.007897	0.269921	0.021882	0.778993	-3	left
chr6	155409734	155416565	519bc4f8-31a1-4230-a415-c71f53c0ecb8	155401203	155418640	fwd	6831	1142	3543	0.010274	0.239726	0.017017	0.722723	0.544494	left
chr7	51320538	51332167	c75c98c4-f2bc-4b35-b665-8772c6c48d8b	51319937	51332399	fwd	11629	4864	6393	0.001571	0.450118	0.025154	0.682504	-3	left
chr7	149520964	149529501	4f9a4b3b-86a8-4508-9ab1-004f912d5251	149520958	149530053	rev	8537	1075	4581	0	0.195652	0.009369	0.762648	-3	left
chr8	34433454	34441422	e3316999-cb25-4cde-8553-431fcf241cf9	34433441	34449599	rev	7968	2548	4041	0	0.281998	0.013559	0.497175	-3	left
chr8	34444527	34462784	f950fcc5-f75b-4221-af62-ea44fbc1a53c	34444143	34478345	rev	18257	3396	11120	0.054565	0.239244	0.007766	0.690787	-3	left
chr8	55284214	55286745	dfb993a8-21b4-477a-b1b3-0c7be22ab3d6	55281667	55293030	rev	2531	1116	578	0.09434	0.403774	0.040816	0.585034	-1	left
chr8	79410043	79414027	8a650ead-2424-43b4-90c1-14c33a740200	79410037	79415397	fwd	3984	1174	1604	0	0.150307	0.006849	0.557078	-3	left
chr8	80352555	80368019	12e3ee27-bcb0-4b0a-9c07-86f5ed7ddeb1	80352548	80368100	rev	15464	2202	10339	0	0.226562	0.020102	0.778535	-3	left
chr9	2073652	2096298	e549dc16-f0dd-406d-85a0-2840da3d24c1	2073648	2096800	fwd	22646	1614	16101	0.015385	0.357692	0.016171	0.840088	-3	left
chr9	11059259	11065816	4e7f16c9-10e7-4ac6-8d7f-d1c056f2af84	11056839	11065823	rev	6557	1498	1872	0.010444	0.412533	0	0.958254	-3	left
chr9	16660132	16665599	5d79dcc0-b962-4ddf-9a31-a32e34d5110b	16660123	16665603	rev	5467	3217	1727	0	0.25	0.02	0.714545	-3	left
chr9	43319128	43321975	0716c11a-56c1-4d64-8601-a38d333b0186	43315876	43332174	rev	2847	1745	1071	0.059242	0.383886	0.032	0.632	-3	left
chr9	97115680	97123393	d1aaf4ae-8c05-478b-a2d4-863c542e8959	97115674	97124931	rev	7713	1338	2276	0	0.147583	0.0013	0.673602	-3	left
chr9	131240454	131247744	d2dcac35-06c9-4fbf-96ec-cafc1bff84ca	131239581	131253779	rev	7290	4571	1041	0	0.211448	0.023973	0.363014	-3	left
chrX	90103436	90109754	f0cd8d96-274a-478a-ae5a-7023b99182a4	90103425	90121681	fwd	6318	2128	3176	0	0.195191	0.005259	0.634531	-3	left
chrX	119650929	119669785	57fd5ef4-ef1f-4a4c-9002-2a1a3725d724	119649029	119669791	fwd	18856	1874	13686	0.134454	0.563025	0.02431	0.899754	-3	left
chrX	152886441	152896294	bf81299c-2cf3-4729-bbdb-6b2af8215c49	152886435	152901463	fwd	9853	3996	3105	0	0.21118	0.010858	0.625407	-3	left
chr1	73809958	73814594	2a4b3a44-e0da-4e6a-8078-811115952dfe	73803858	73814612	rev	4636	1414	1109	0.078385	0.463183	0.035928	0.55988	-3	right
chr1	143192555	143206327	9b3ae007-4163-42a5-9ed8-3b84e911465b	143184598	143242855	fwd	13772	9794	3978	0.085965	0.299123	0	0.535885	0.185321	right
chr1	143212395	143220898	4b4101b4-ef9e-4851-b761-01e72725a8a9	143212389	143221737	rev	8503	4720	1282	0.069905	0.377962	0	0.630252	-3	right
chr1	148594912	148602065	82a33d7f-b7e2-4fe5-92d8-808a7e633b04	148592873	148605341	rev	7153	1043	4544	0.010601	0.155477	0.003626	0.728064	-3	right
chr10	38489454	38518733	9282c5f7-43d1-421a-b337-3d427128c8ad	38489442	38518739	rev	29279	1302	26210	0	0.946939	0.100812	0.729112	-3	right
chr10	41903738	41915868	806468f6-34ea-4e3b-b26f-3752e716a4a3	41889467	41916262	fwd	12130	514	8035	0.136364	0.386364	0.048567	0.498408	-3	right
chr10	57386603	57395212	39efdaff-2d2a-488d-931b-e4c1d05cb425	57386599	57408582	fwd	8609	3543	3817	0.020758	0.224729	0.003317	0.805141	0.172961	right
chr11	20994982	21000142	295f53e3-2637-464c-93bb-c8c3c0139a88	20991788	21000147	rev	5160	1817	1426	0	0.310195	0	0.758808	-3	right
chr11	76429194	76436694	008b7da8-868f-4ed7-afee-86bb5689766e	76429188	76436698	rev	7500	3958	2798	0.004826	0.203668	0.054987	0.543478	-3	right
chr11	121843138	121850634	e3db3f54-2b4c-4c91-950e-c89928364545	121843122	121850639	fwd	7496	1351	2788	0	0.319048	0	0.880583	-3	right
chr13	60632641	60645613	30fe0e7d-8e73-4a58-bc55-53e693c93e81	60632630	60645623	rev	12972	5458	4240	0.003726	0.264531	0.000841	0.771236	-3	right
chr13	95555271	95561744	d8c7c9fb-62be-4a73-ba20-7c2805b1e4a7	95555262	95561754	fwd	6473	1371	3695	0.026005	0.451537	0.062899	0.61258	-3	right
chr14	47669275	47680963	8a9fb653-87e8-4c0a-b834-b49ca229ea32	47669268	47681881	rev	11688	1450	8700	0.037281	0.436404	0.022262	0.70748	-3	right
chr14	55107371	55114069	2894c308-cf51-420b-81ec-fb72c8d781c6	55103150	55114075	rev	6698	3445	2866	0.006188	0.303218	0	0.793345	-3	right
chr15	38105449	38112386	44483b1c-32f6-4063-b1f8-ff5d9bfe965a	38105445	38112391	fwd	6937	1417	5154	0	0.367206	0.045032	0.627591	-3	right
chr15	74286575	74291081	bf8b52c8-2487-4b25-8744-b5b953443eaf	74278785	74296638	fwd	4506	1001	1706	0.041667	0.310185	0	0.588529	-3	right
chr16	59954272	59966802	ea45ebad-9f66-4ac9-bb9c-8228ef34e13e	59954268	59969937	fwd	12530	1756	10477	0	0.674274	0.008709	0.900601	-3	right
chr17	60527389	60538530	ad5e1496-14bb-4acb-8786-4951f88d647f	60527329	60538536	fwd	11141	4476	3415	0.000951	0.26451	0.012453	0.762142	-3	right
chr17	62375787	62388430	29ebbdac-91f3-4029-ace8-654692152ac7	62375780	62389111	fwd	12643	2304	8809	0.081522	0.277174	0.00984	0.781058	-3	right
chr17	77133094	77142265	bc5f3670-61ec-4a4f-9276-cd9ffe2ef8db	77130834	77142269	rev	9171	1391	7069	0.126543	0.391975	0.02983	0.735795	-3	right
chr17	81874886	81887925	df242f5a-c888-4f48-acd0-c877b742e936	81874877	81888713	fwd	13039	1324	11277	0.098639	0.404762	0.018772	0.694173	-3	right
chr2	6806029	6810770	97b1e809-1a13-442c-8d5b-eef9cc2e20aa	6806011	6821640	rev	4741	3152	1210	0.014888	0.424318	0.00692	0.733564	-3	right
chr2	13712491	13722492	d41eb29d-8e18-474f-b0ca-e03f8bc381dc	13712484	13723732	rev	10001	3300	5216	0	0.462851	0.003211	0.828516	-3	right
chr2	66368177	66375660	cdfdd430-5e95-4474-9bc3-dac05199fbe2	66365449	66375666	fwd	7483	1588	4430	0.01006	0.32998	0.011244	0.777361	-3	right
chr2	70717226	70725598	6d541010-8595-40d7-b10d-6b26ce384e79	70716705	70725607	fwd	8372	3541	3566	0.013953	0.496512	0.02809	0.726966	-3	right
chr2	87418768	87423314	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	4546	581	2289	0	0	0	0.592593	-1	right
chr2	87426502	87429372	d5b0c0dd-2b33-4a42-8f6d-7ffc6fa12bfb	87413549	87431213	fwd	2870	899	1466	0	0	0	0.5	-3	right
chr2	87418715	87421312	c84535dc-6268-46fd-be82-a3be81f683f2	87414111	87431213	fwd	2597	634	1963	0	0	0	0.464286	-3	right
chr2	157311808	157315676	cbd9a9b9-f702-43b6-9a7d-e9310b911a7f	157305539	157315680	rev	3868	1192	1985	0	0.169951	0	0.568935	-3	right
chr2	165085761	165098306	588a4d8a-de31-4fb3-a831-e7d131b6d029	165083102	165098311	fwd	12545	4756	4959	0.011371	0.202148	0.019218	0.662691	-3	right
chr20	31066979	31072412	c59646d1-1a2e-4dc9-b3ac-a8a4e723074f	31057030	31077103	fwd	5433	1099	545	0	0.4625	0	0.8	-1	right
chr20	31074172	31076903	66898fd7-e415-4940-8f7c-ee35a2bbffc3	31058143	31080766	fwd	2731	520	1123	0.048077	0.326923	0.031915	0.446809	-3	right
chr20	31068794	31073577	cf5ad76d-1cc8-44a0-9891-81d4fca86b29	31061278	31074395	fwd	4783	972	2284	0.013333	0.466667	0.089385	0.636872	-3	right
chr20	31066065	31068548	4bf04e73-f124-49fc-8a41-cb5f916ea27f	31061684	31073324	fwd	2483	1084	1154	0.072289	0.313253	0	0.470968	-3	right
chr20	31068113	31073622	4cba34c0-ce07-42ba-86e8-974652690a96	31062225	31075122	fwd	5509	2856	1920	0.078652	0.447566	0.027778	0.555556	-3	right
chr20	31062717	31066649	4dd6130d-c781-4eb7-a564-a0d18c493f00	31062709	31071061	fwd	3932	1420	1587	0.051724	0.418103	0	0.627063	-3	right
chr20	31062832	31072462	5765bb02-f4bc-4841-a3dd-d0549beccec5	31062827	31080055	fwd	9630	6944	525	0.092177	0.424477	0.020619	0.773196	-1	right
chr20	31063747	31067808	8b98797d-7498-42d5-89c7-0e83e2dc04f2	31063739	31074628	fwd	4061	2045	1313	0.089928	0.381295	0.127753	0.46696	-3	right
chr20	48042500	48050647	d646da7d-4e2e-4d68-ae55-f404c41a4864	48041716	48050655	fwd	8147	4574	1578	0.003903	0.369243	0.041339	0.562992	-3	right
chr21	16014303	16021379	8e17b848-94f0-4683-9e52-e42c4b0bf0c8	16014297	16029881	rev	7076	4838	1030	0.00602	0.297216	0.006515	0.592834	-3	right
chr3	12413012	12420943	f57b39ae-f12a-4804-abc3-c71894b921f9	12409554	12420960	fwd	7931	1300	4186	0	0.299694	0.00155	0.86124	-3	right
chr3	15723199	15732353	e5f76704-b904-4931-88c3-085ce4d38f00	15717169	15732357	rev	9154	4221	2460	0	0.434815	0.005587	0.755587	-3	right
chr3	29223856	29231429	7fa7380b-25bc-449b-8941-0af35fe19253	29223851	29231445	rev	7573	1597	4873	0.032634	0.368298	0.046131	0.62128	-3	right
chr3	61464923	61476781	bf91a270-8519-4bc4-972c-976f67380c20	61464917	61476787	fwd	11858	3508	3823	0	0.372896	0.000894	0.756032	-3	right
chr3	82257601	82263789	6a4cfe82-b33a-4a83-ac6a-e5283cafea01	82257591	82263795	rev	6188	1543	2391	0	0.3107	0.020188	0.635262	-3	right
chr3	90065969	90079414	7bc1fcb4-8b91-44db-afcd-b983f4435ee5	90061856	90081651	rev	13445	1470	11503	0.026369	0.292089	0.011716	0.542307	-3	right
chr3	108900023	108907779	8b1ff379-c490-4bca-9176-5b29c056b1ab	108900014	108907785	rev	7756	2560	3160	0	0.548077	0.004914	0.684275	-3	right
chr3	164019005	164025083	c66b99a2-2fa7-460c-b709-266e0c4ba9cb	164018996	164025324	fwd	6078	1741	4076	0.054545	0.539394	0.044193	0.681398	-3	right
chr3	178121034	178132069	c851c878-1100-4b02-af42-38fe6ebb5f05	178121028	178132077	rev	11035	4105	4788	0.056836	0.476959	0.018145	0.827957	-3	right
chr3	191321987	191327754	bc65e83c-96e5-4a78-b464-5c733c25bedb	191321355	191327759	fwd	5767	1713	3644	0	0.309572	0	0.839679	-3	right
chr4	23661638	23674404	57c852de-c09e-4b83-877c-36d1cd9bf382	23661634	23674409	fwd	12766	2643	8128	0.052972	0.689922	0.009479	0.860979	-3	right
chr4	49097680	49106287	929594ee-f6bc-4592-b72b-05358679b18e	49097071	49114651	fwd	8607	5548	1232	0.191176	0.372172	0.037037	0.57037	-1	right
chr4	49104856	49107949	b2593206-8336-4575-bd73-493cefe6bc04	49100347	49112659	rev	3093	1514	1195	0.004545	0.345455	0	0.497207	-3	right
chr4	49120152	49123437	e427b7f1-d950-4fac-b848-131909a50cb6	49107058	49134966	rev	3285	1029	1145	0.059211	0.361842	0.006536	0.48366	-3	right
chr4	49141063	49143634	c758e69e-862b-4188-be0a-0ddeaa70e04a	49138579	49147794	fwd	2571	1470	841	0.08785	0.416822	0.02	0.543333	-1	right
chr4	49149516	49154107	cb51dc8e-0ff1-4c91-bbfc-728326309f3a	49149062	49154695	rev	4591	1174	2144	0.112299	0.449198	0.021552	0.482759	-3	right
chr4	49146928	49150390	7a524d78-d6fe-4e1f-aa23-54c7b81ef930	49146922	49156630	fwd	3462	1444	1634	0.123348	0.513216	0.110714	0.783929	-3	right
chr4	49150021	49152352	07d689f1-70c0-472a-970e-f464128d65f1	49150017	49156631	fwd	2331	1433	523	0.052083	0.53125	0.011834	0.721893	-1	right
chr4	49638927	49642861	67175fa9-c49f-4df0-aa84-49ad73aa29f6	49631416	49643782	fwd	3934	1018	2916	0.128205	0.307692	0	0.483871	-3	right
chr4	49634498	49641063	42df64e0-6422-42d2-b98a-c0e448f0997e	49633508	49647877	fwd	6565	1154	4139	0.016393	0.251366	0.002611	0.43342	-3	right
chr4	90224191	90234109	d0765916-b54e-4a14-a392-a5eec988dfc8	90223105	90235803	rev	9918	2917	4217	0	0.150259	0.065284	0.465528	-3	right
chr4	174038117	174041966	e6267fb1-7a09-4d4f-a007-3ef21ee14bd6	174036297	174051135	rev	3849	1501	1116	0.057732	0.389691	0.016393	0.613115	-3	right
chr5	18013002	18020081	b6def09d-0587-4906-a8ff-698d62c19a91	18012992	18023670	rev	7079	1771	3988	0.05694	0.713523	0.028998	0.885667	-3	right
chr5	32416836	32427609	38797131-1eec-4841-a8e9-09a3217f9759	32416624	32427638	fwd	10773	3257	5092	0.003452	0.436133	0.011597	0.833185	-3	right
chr5	49656557	49660505	9e40bf76-70c5-4875-99a8-b5a78d5a1d17	49656261	49661871	rev	3948	1703	1617	0.12013	0.402597	0.037175	0.464684	-3	right
chr5	49657603	49660738	4325e642-1dc1-4c24-8a99-7d3b388824ad	49656261	49661871	rev	3135	1400	1003	0.119149	0.32766	0	0.470238	-3	right
chr5	77646182	77653819	8a8b156e-81d3-429e-88cc-24710f941378	77641444	77653825	rev	7637	2404	4453	0.018663	0.368585	0.02623	0.710656	-3	right
chr5	129834312	129838206	fa4959c3-1478-4815-922d-8e3c5343aa0b	129833754	129839327	rev	3894	1206	1159	0.072626	0.284916	0.008475	0.446328	-3	right
chr5	176966609	176972344	a24dce28-97cb-4526-a18b-34e88404ba8a	176964987	176975464	fwd	5735	1761	3609	0	0.373034	0.012168	0.747788	-3	right
chr6	83095384	83104181	fd3ce4ea-a4cf-4752-981c-f45101ccd6df	83094529	83104187	fwd	8797	1034	5300	0	0.177994	0.049488	0.495449	-3	right
chr6	106943793	106953775	1d8fe8c5-3971-4b0e-b7a6-d0baf7b9b252	106943072	106954596	fwd	9982	2709	3202	0	0.22	0	0.810771	-3	right
chr7	16221897	16226592	04f105f1-df1c-43e1-b8e9-5272551e0656	16210792	16229439	rev	4695	2488	1123	0	0.311414	0	0.441975	-3	right
chr7	55866846	55874983	dbfe91e0-5f3f-46b3-8768-82859d592fd5	55863236	55875946	rev	8137	2935	4752	0.031788	0.401325	0.031802	0.618375	-3	right
chr7	65414829	65431091	4df59453-4664-4809-8368-a231bab30216	65414823	65442490	rev	16262	11633	1369	0.113722	0.284429	0	0.648876	0.449846	right
