chromosome	BrdU_start	BrdU_end	readID	read_start	read_end	strand	sample
chr10	62909110	62921002	e2aa8003-ae85-4116-b767-ed723bb268e3	62897679	62921608	rev	OV3_Cisp0
chr10	63362957	63367364	de142b0f-1ccd-4fde-87c2-442d6e23ec3f	63362951	63371260	rev	OV3_Cisp0
chr10	65130883	65137371	562432ff-354d-4c93-b87c-18f4b298bde2	65118010	65137386	fwd	OV3_Cisp0
chr10	65208688	65211927	e09e3ca4-4eeb-4161-965f-759e07b36915	65202540	65213714	rev	OV3_Cisp0
chr10	66560713	66570966	07115114-770d-4369-9053-46ab72f8ce9e	66537154	66570970	rev	OV3_Cisp0
chr10	68324183	68330528	3e4d5b92-f8de-4dcb-8982-26c086c9caac	68324175	68336766	rev	OV3_Cisp0
chr10	69067130	69068468	227c8fb9-902e-48cb-b03c-4537228f1e9a	69067012	69072630	fwd	OV3_Cisp0
chr10	70989077	70992965	81c02bd8-c795-4512-8f8c-c8a88d71762e	70974194	70998831	rev	OV3_Cisp0
chr10	72405752	72407478	fe998388-28a9-47df-afc7-eae85c4d9dcd	72387464	72407529	rev	OV3_Cisp0
chr10	72564334	72575044	5a97fd3b-438c-4b6c-bfad-67a22000a381	72550288	72576349	rev	OV3_Cisp0
chr10	75334303	75346115	806e2fef-70c1-43a2-908c-feb17b78608f	75334297	75371822	rev	OV3_Cisp0
chr10	75619345	75623198	b86ddcb2-847d-4f83-9d20-dcae39362722	75610172	75625045	fwd	OV3_Cisp0
chr10	77184659	77190796	0fb6e554-53f2-44b3-8184-1b9e65e1bfb1	77164641	77190917	fwd	OV3_Cisp0
