chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction	sample
chr1	67523468	67533092	16c202b5-6785-470f-949a-f69ff02d6f31	67523461	67539378	fwd	9624	4685	4617	0.003205	0.490385	0.03413	0.673208	-3	left	OV3_Cisp0
chr1	69290854	69305780	5237684a-8777-435d-9b29-a0fd57e5dd3f	69290845	69306700	fwd	14926	12617	1550	0.015586	0.644978	0.11087	0.673913	-3	left	OV3_Cisp0
chr1	73982736	73999274	6594b06e-0136-48d7-a1b3-bf3d9c79da18	73982541	74012614	fwd	16538	5058	8805	0.018006	0.317042	0.003947	0.798349	-3	left	OV3_Cisp0
chr1	84953627	84966890	c8ca37d2-c6bc-443e-b131-3bbbfb890115	84953618	84974952	rev	13263	4728	7346	0.024005	0.72428	0.032287	0.809865	-3	left	OV3_Cisp0
chr1	86702030	86716355	d9d072cc-8767-437b-95be-9cb4f6be58b3	86701891	86717132	rev	14325	5258	6300	0.000613	0.537423	0.033129	0.757055	-3	left	OV3_Cisp0
chr1	88294858	88297725	6a7b01a0-a405-4764-95d4-e53ce944b51c	88291247	88321450	rev	2867	511	1017	0	0.419355	0.02518	0.42446	-3	left	OV3_Cisp0
chr1	89327379	89334724	2a41d31a-f0ca-4634-a24e-d88295dc856b	89304517	89343662	rev	7345	4621	1712	0.000683	0.843686	0.088235	0.727554	-1	left	OV3_Cisp0
chr1	92202822	92209981	1be42edd-73ba-4528-b74b-b4c6d0de53eb	92202811	92219210	rev	7159	3320	3479	0	0.509091	0	0.706963	-3	left	OV3_Cisp0
chr1	94317355	94321986	d74fb123-5a26-4407-8f52-33092c37230a	94317349	94335509	rev	4631	2032	1778	0	0.368243	0.028283	0.652525	-3	left	OV3_Cisp0
chr1	97065303	97075295	a2229763-2726-4491-bfb7-a225aeda196a	97065297	97097739	fwd	9992	5248	4337	0	0.494769	0.004751	0.69042	-3	left	OV3_Cisp0
chr1	98119842	98126543	f1975cc5-46ed-4933-bafa-61b07441fc22	98119837	98129611	rev	6701	1533	1538	0.004866	0.827251	0.093182	0.690909	-3	left	OV3_Cisp0
chr1	99890583	99896219	dd706040-1fdd-4677-809e-b48e4118b133	99890577	99896225	fwd	5636	2532	2776	0.006402	0.878361	0.071032	0.781354	-3	left	OV3_Cisp0
chr1	102839003	102852087	c1945ad1-644b-4e0e-80b5-e2b3191c1ca7	102826119	102852091	rev	13084	1651	11159	0.011086	0.838137	0.005493	0.897378	-2	left	OV3_Cisp0
chr1	103419780	103449885	a7b804c2-2071-4113-8d05-f5f49438d307	103398907	103464163	rev	30105	3065	26116	0.010638	0.730496	0.018326	0.645033	0.282911	left	OV3_Cisp0
chr1	109146727	109162740	6ee38348-62a2-4e8b-8990-54fea105efb2	109141127	109171799	fwd	16013	7468	6882	0.002931	0.454323	0.023902	0.685937	-3	left	OV3_Cisp0
chr1	116194319	116201273	035317d1-69fc-42dc-9b7c-26b6b67771e0	116194313	116206952	rev	6954	3277	1602	0	0.740189	0.035714	0.676339	-3	left	OV3_Cisp0
chr1	117040148	117050986	dfb4fb20-0f42-4d97-871b-22b95875b3c0	117039592	117064841	fwd	10838	2171	8048	0.050328	0.345733	0.004494	0.838202	-3	left	OV3_Cisp0
chr1	124942969	124959853	522ea325-9b57-48ff-8a25-be226e792b60	124932825	124959859	fwd	16884	3522	9605	0.012832	0.776352	0.009814	0.798985	0.161105	left	OV3_Cisp0
chr1	143188071	143205414	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	17343	614	16729	0	0.666667	0.012422	0.739389	-3	left	OV3_Cisp0
chr1	143210602	143227344	f7586cbc-15e5-4ea2-8d69-ca77234fa62c	143184587	143242897	rev	16742	9407	4573	0.004501	0.653028	0.01227	0.763804	-1	left	OV3_Cisp0
chr1	143194677	143200293	c626baae-f2d1-412f-b78d-59576a5e0ed6	143190268	143226250	fwd	5616	607	4911	0.163043	0.130435	0	0.551111	-3	left	OV3_Cisp0
chr1	143212250	143224122	737b8753-1774-41b3-9db6-335084da4594	143212234	143224129	fwd	11872	2488	8449	0.002151	0.88172	0.00612	0.936353	-3	left	OV3_Cisp0
chr1	143725009	143731497	5841b805-7f92-4218-8245-fedbdf947ebc	143724973	143743544	rev	6488	1500	4317	0	0.261845	0.003364	0.502103	-3	left	OV3_Cisp0
chr1	150179785	150186382	e69ed1d7-f589-412a-b838-35d5210610d6	150179681	150223433	fwd	6597	3225	2043	0	0.538945	0.017928	0.563745	-3	left	OV3_Cisp0
chr1	153113897	153144279	32278e75-4d8a-420c-9615-5f09e94faf6d	153113886	153144286	rev	30382	9318	20046	0.034355	0.659548	0.019556	0.829427	-3	left	OV3_Cisp0
chr1	156144265	156150721	ab27d203-6436-416b-abee-b73fab38f9fd	156129949	156171390	fwd	6456	2103	4064	0	0.489978	0.005988	0.780439	0.159127	left	OV3_Cisp0
chr1	157924069	157946345	bd3601d6-5047-4597-95c1-6eeb94f7f052	157915180	157959328	rev	22276	4004	16906	0.000937	0.684161	0.030366	0.755694	0.513024	left	OV3_Cisp0
chr1	158112791	158124012	83890de9-3046-40aa-b18f-efde27e4af66	158110344	158124107	rev	11221	3994	6598	0.055713	0.692162	0.003145	0.844654	-3	left	OV3_Cisp0
chr1	159879240	159903887	6c85a0ff-27d0-4012-a38e-fc6efa7d1104	159871807	159903894	fwd	24647	1540	21343	0.098361	0.704918	0.04316	0.667855	-3	left	OV3_Cisp0
chr1	159916522	159927383	36a35e32-b749-4249-b28f-97b8164c2e26	159916518	159933921	fwd	10861	3914	5772	0	0.617414	0.058624	0.706032	-3	left	OV3_Cisp0
chr1	164424957	164442396	198482b3-a4cc-4336-979a-d10881901c94	164419285	164459448	rev	17439	4602	12245	0.0484	0.632319	0.028442	0.837586	-3	left	OV3_Cisp0
chr1	167705081	167711656	a54b8581-ebe3-4e94-bf6e-8fb79029952a	167705075	167725251	rev	6575	1995	1383	0.001626	0.482927	0.052941	0.814706	-3	left	OV3_Cisp0
chr1	168120383	168138506	564941ec-f77f-4de6-9349-1d03cbb81d40	168115604	168138520	rev	18123	1230	13124	0.095238	0.741071	0.010017	0.902337	-3	left	OV3_Cisp0
chr1	168159805	168164434	6ec71b8c-6861-479a-b227-43f83e1c492e	168159801	168167102	fwd	4629	2447	1512	0.011799	0.314159	0.010345	0.562069	-3	left	OV3_Cisp0
chr1	172352902	172371496	275e3c7c-7a7f-4fa4-b035-6a504f6681bd	172349533	172371503	rev	18594	1732	16544	0	0.74502	0.002782	0.888332	-3	left	OV3_Cisp0
chr1	177890945	177899256	33ad1fba-03b3-4736-b3e0-541aced5646a	177890937	177904943	fwd	8311	2290	5155	0.020561	0.493458	0.071242	0.582103	-3	left	OV3_Cisp0
chr1	177953472	177966241	6c94e4a7-a7f1-41bd-ae94-470f126727fb	177951927	177966294	fwd	12769	3272	4864	0.069588	0.715206	0.035441	0.820014	-3	left	OV3_Cisp0
chr1	184732272	184748659	977aa037-e8e3-43ec-a33a-336abd31c1fb	184727368	184755527	rev	16387	3724	9454	0.000787	0.916535	0.003548	0.930968	-3	left	OV3_Cisp0
chr1	185015930	185021617	02795b09-45ba-4519-af44-557dbc20b0b6	185015925	185034804	rev	5687	1217	4050	0	0.459459	0.00466	0.76794	-3	left	OV3_Cisp0
chr1	191011780	191020292	b7624c87-b3a1-4561-825e-7439ef6a8341	191011776	191029182	fwd	8512	3259	4935	0	0.781059	0.002149	0.818052	-3	left	OV3_Cisp0
chr1	191736410	191749405	fe52632f-630b-4817-b103-d5d272c55fe4	191734333	191749410	fwd	12995	1636	10283	0.013972	0.846307	0.009709	0.89108	-3	left	OV3_Cisp0
chr1	192080656	192086690	9de067d0-7f23-470a-90fb-111c17098516	192079223	192100634	rev	6034	2948	2478	0	0.360094	0.006452	0.676129	-3	left	OV3_Cisp0
chr1	192306259	192310627	e0a186f5-1dbf-43e7-9063-8090e76086f2	192306255	192318830	fwd	4368	2502	1075	0	0.587571	0	0.652568	-3	left	OV3_Cisp0
chr1	192764241	192782702	c0252a52-9de6-4035-b41b-ab5f29fa07eb	192764231	192782707	fwd	18461	1928	14103	0.044226	0.826781	0.006494	0.895142	-3	left	OV3_Cisp0
chr1	197229167	197243820	c5fc7d9c-0880-4f82-908f-247410b69dd5	197224859	197248049	rev	14653	7109	7158	0.015339	0.39056	0.02643	0.824123	-3	left	OV3_Cisp0
chr1	202802351	202813092	6adde54c-f193-4c92-a56c-3d696a0fb59c	202802338	202814508	rev	10741	4666	4606	0	0.852827	0.046763	0.766187	-3	left	OV3_Cisp0
chr1	205991950	206009353	ab106566-81eb-4ee5-9037-1525b9606632	205990100	206009357	rev	17403	4297	12721	0.007477	0.629907	0.04394	0.803848	-3	left	OV3_Cisp0
chr1	207601595	207609591	907118b5-f62b-42cc-930d-58091c7e0557	207600347	207626111	rev	7996	3772	2502	0.00354	0.550442	0.060794	0.549628	-3	left	OV3_Cisp0
chr1	209539640	209563169	7abea679-ebc5-4f7d-9012-cf8a1fb62832	209536704	209563174	rev	23529	4742	15061	0.030675	0.78911	0.020662	0.893702	-3	left	OV3_Cisp0
chr1	219038982	219051555	864dd8fc-f11f-427c-9adb-ac28574e6c71	219038975	219053697	rev	12573	3867	8495	0.011263	0.45535	0.018599	0.853581	-3	left	OV3_Cisp0
chr1	223480235	223484388	a37dcbba-45bd-4a77-80d3-5dae45a65f2c	223461031	223484394	fwd	4153	3224	603	0	0.570342	0.02027	0.77027	-1	left	OV3_Cisp0
chr1	225160244	225173216	2f2fc87e-a428-4d32-9e02-ebc73693290a	225159066	225180662	rev	12972	4613	6630	0.012892	0.504484	0.005559	0.802347	-3	left	OV3_Cisp0
chr1	226284603	226305717	376695f7-b12f-42e0-9211-c5c9cb8a4003	226266680	226305722	rev	21114	4000	13980	0.034566	0.814309	0.001611	0.763461	0.303249	left	OV3_Cisp0
chr1	228015514	228029670	f78ff939-c3af-4059-8a15-9027f19420b2	228011579	228033269	rev	14156	5485	4415	0	0.672807	0.023379	0.798087	-3	left	OV3_Cisp0
chr1	232672049	232676925	81209482-d556-495d-8d33-36d9a94ecb38	232672040	232693824	fwd	4876	2113	1116	0.013962	0.272251	0	0.531365	-3	left	OV3_Cisp0
chr1	235395944	235404579	fcd5e1fd-14c4-42cc-854a-1e83266fc94d	235395939	235407572	rev	8635	3864	2531	0	0.610753	0.076923	0.611227	-3	left	OV3_Cisp0
chr1	236809256	236817968	13aa2063-ae81-4364-a190-25330239845e	236789736	236820954	rev	8712	1307	5541	0.016181	0.530744	0.012829	0.85696	0.083111	left	OV3_Cisp0
chr1	238460416	238492896	ffdb808c-a5d4-4f18-9008-f1c4949fbb8e	238459861	238508465	rev	32480	8275	22631	0.00392	0.361934	0.017509	0.78578	-3	left	OV3_Cisp0
chr1	245116419	245126065	4be45429-9e46-4ded-8b7b-d0ca9fbd9ca5	245116193	245136157	fwd	9646	4167	4246	0.005455	0.492727	0	0.721659	-3	left	OV3_Cisp0
chr1	248623958	248636807	9f78d47c-bd87-46a1-a0bf-00f7cc5c6c76	248622933	248645394	fwd	12849	3626	6084	0	0.675749	0.028888	0.799631	-3	left	OV3_Cisp0
chr10	3352701	3359984	b46a5ae8-2aaf-4625-8d3b-9aeb44a459aa	3352692	3361860	fwd	7283	4414	1824	0	0.8	0.067698	0.833656	-3	left	OV3_Cisp0
chr10	6012675	6019350	922ae72e-1c2d-48e3-82fd-11f6df553a8c	6011957	6026746	rev	6675	2797	1714	0.050432	0.436599	0.083532	0.548926	-3	left	OV3_Cisp0
chr10	11211539	11216730	5b4a15d1-e77a-4a5d-b1dd-9207a950aa5c	11211532	11222934	rev	5191	3134	1505	0.047205	0.493168	0	0.650273	-3	left	OV3_Cisp0
chr10	15347574	15358168	af07dbf6-18d1-449c-a867-838fb53f315a	15347570	15369523	fwd	10594	3567	4950	0.015801	0.413093	0.033145	0.617623	-3	left	OV3_Cisp0
chr10	15714113	15725823	ea236aa7-d994-40a3-9acb-b7093259ac48	15713727	15764301	fwd	11710	3833	4152	0.030512	0.531496	0.003953	0.647431	-3	left	OV3_Cisp0
chr10	26459610	26477392	fc658019-c582-4b2e-9148-219bdac50142	26450950	26492856	rev	17782	4405	12118	0	0.521855	0.015906	0.821729	0.145869	left	OV3_Cisp0
chr10	27880908	27887685	06d0df35-9cd3-4d72-8b8d-a628efb2e75e	27863089	27892792	fwd	6777	1058	2663	0	0.383721	0	0.843844	0.212169	left	OV3_Cisp0
chr10	27997569	28022787	c6a5d300-6a22-422d-bef2-1e198551487d	27995592	28026113	rev	25218	5734	18428	0.022129	0.873804	0.140427	0.719541	-3	left	OV3_Cisp0
chr10	36499934	36510594	4309e102-d97d-4719-95f8-4e673c981a74	36499926	36510601	fwd	10660	2860	5262	0.040404	0.698232	0.003906	0.865234	-3	left	OV3_Cisp0
chr10	41883853	41898042	ae945a1f-518f-44aa-9195-a335914d4c9c	41878419	41904609	fwd	14189	1090	12660	0.009756	0.326829	0.011756	0.500367	-3	left	OV3_Cisp0
chr10	41882040	41884242	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd	2202	589	1168	0	0.588235	0.056122	0.591837	-3	left	OV3_Cisp0
chr10	41890479	41894958	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd	4479	1568	918	0	0.518692	0.006944	0.659722	-1	left	OV3_Cisp0
chr10	41882923	41887098	ad971243-02ec-4388-9c70-34f306949184	41882919	41897568	fwd	4175	1588	1081	0	0.188406	0.005405	0.405405	-3	left	OV3_Cisp0
chr10	41905470	41907908	8274a84d-542b-4eb7-aa58-88139a704dd9	41904110	41916259	fwd	2438	704	1734	0	0.333333	0	0	-3	left	OV3_Cisp0
chr10	42093170	42099663	a354f685-1685-4a8b-a707-23d0d723b21e	42072778	42099669	fwd	6493	1150	2866	0.067925	0.558491	0.016667	0.57	-3	left	OV3_Cisp0
chr10	44126998	44147917	082d6fc0-1e34-4f9f-a71d-37818335eb38	44126994	44149863	fwd	20919	8832	8775	0	0.305964	0.000398	0.69662	-3	left	OV3_Cisp0
chr10	45340712	45350199	e9c9bb2e-3b5a-4bab-95ef-4b49c5fffcde	45333987	45350203	rev	9487	2706	6251	0.03168	0.674931	0.000483	0.865217	-3	left	OV3_Cisp0
chr10	45526415	45537570	8e759479-7754-4c0c-ae42-e265a19e8716	45525868	45537577	fwd	11155	5316	2538	0.003003	0.766517	0.053803	0.660482	-3	left	OV3_Cisp0
chr10	46564627	46573941	738be5ef-0de8-45f5-9fcf-7b553ad95182	46563045	46592263	fwd	9314	3431	5327	0.042767	0.490566	0.013333	0.623158	-3	left	OV3_Cisp0
chr10	47754260	47769437	51d367af-3f2c-4657-a3e9-96c3c3f4f85d	47753255	47779903	fwd	15177	8089	2429	0.007706	0.406639	0.005693	0.54649	-3	left	OV3_Cisp0
chr10	50471734	50490477	a727cfe2-8c2c-4d3d-ae41-10c68287fecc	50470931	50493815	fwd	18743	2227	14257	0.0016	0.5408	0.031337	0.798946	-3	left	OV3_Cisp0
chr10	54448489	54456127	2f3c2a6d-06f3-4219-bdcc-ad16ffbe1797	54448482	54456132	fwd	7638	1414	4417	0.137097	0.69086	0.121191	0.752078	-3	left	OV3_Cisp0
chr10	55410839	55419726	d3dee7ef-6b5a-4415-abfc-f397bc0b90e1	55410829	55419733	rev	8887	6259	2295	0.016294	0.785847	0.17625	0.7375	-3	left	OV3_Cisp0
chr10	59733938	59738681	cef824bc-a2bf-4f85-af89-91af82d0fd02	59733933	59740526	fwd	4743	2934	1494	0	0.658257	0.021277	0.77305	-3	left	OV3_Cisp0
chr10	63362957	63371256	de142b0f-1ccd-4fde-87c2-442d6e23ec3f	63362951	63371260	rev	8299	3125	4407	0.014223	0.405908	0.023622	0.770779	-3	left	OV3_Cisp0
chr10	68324183	68336757	3e4d5b92-f8de-4dcb-8982-26c086c9caac	68324175	68336766	rev	12574	4355	6345	0.070662	0.729875	0.012055	0.876005	-3	left	OV3_Cisp0
chr10	69067130	69072620	227c8fb9-902e-48cb-b03c-4537228f1e9a	69067012	69072630	fwd	5490	2671	1338	0.041193	0.784091	0.133903	0.763533	-3	left	OV3_Cisp0
chr10	75334303	75351381	806e2fef-70c1-43a2-908c-feb17b78608f	75334297	75371822	rev	17078	2181	11812	0	0.84854	0.033708	0.734423	-3	left	OV3_Cisp0
chr10	77507221	77522870	7c290f19-d9da-4d36-923b-fae0624a958d	77507211	77523855	rev	15649	3877	8910	0.008333	0.914583	0.026672	0.914735	-3	left	OV3_Cisp0
chr10	81624477	81633813	5d781a47-a8b9-484c-bfdd-45127b89abe6	81617298	81634126	rev	9336	5438	2741	0.007613	0.457858	0.010554	0.800792	-1	left	OV3_Cisp0
chr10	83595878	83600767	74713568-44f6-46fc-94f4-20e754f27660	83582474	83609729	rev	4889	1569	2501	0	0.449692	0.026536	0.628492	0.773791	left	OV3_Cisp0
chr10	85872743	85880427	c82785bc-51dd-4f7a-bd39-3a6b4f1a1290	85872737	85898571	rev	7684	1557	5652	0.020155	0.451163	0.04008	0.607214	-3	left	OV3_Cisp0
chr10	86195609	86206252	2b63f690-dfd2-4d59-9738-4ad2acf2d4f2	86195602	86222370	rev	10643	4127	6115	0	0.599424	0.035859	0.754772	-3	left	OV3_Cisp0
chr10	87563444	87571634	136a452d-def1-4428-8519-71560de7b108	87560929	87580724	fwd	8190	1521	4042	0.026393	0.451613	0.012304	0.813199	-3	left	OV3_Cisp0
chr10	87953403	87967426	441dd2cd-3706-4c38-b5bf-66dee735e3ed	87953224	87997929	fwd	14023	2133	8142	0.00142	0.31108	0.019767	0.593023	-3	left	OV3_Cisp0
chr10	93371562	93384561	5c11814b-2c8f-4c71-99c9-a9458c4b0d5b	93369920	93384574	fwd	12999	3239	8890	0.008363	0.904421	0.014303	0.884386	-3	left	OV3_Cisp0
chr10	96193541	96216517	b33073b3-1b2a-4eaa-90f4-432239ded3c3	96191852	96216522	rev	22976	4648	17894	0.013312	0.776038	0.023137	0.852266	-3	left	OV3_Cisp0
chr10	96820723	96835993	59b1cff0-2cf8-43a0-9644-bb4d972a1db7	96820717	96838975	fwd	15270	2931	11117	0.004376	0.586433	0.013646	0.825402	-3	left	OV3_Cisp0
chr10	102335508	102342297	e0d3d35c-228c-4c96-ba1e-3252d8ffc859	102335502	102349582	rev	6789	2969	1143	0	0.462353	0.034783	0.568116	-3	left	OV3_Cisp0
chr10	104015481	104027764	b5e3ed57-9af1-4a85-bd3e-f5aef7410991	104013681	104029265	rev	12283	2091	8173	0	0.607908	0.010536	0.885865	-3	left	OV3_Cisp0
chr10	109775334	109788401	c328e9d8-9ef2-4fa9-8dc9-f300a93c1c6c	109764758	109793873	fwd	13067	4356	8305	0	0.469804	0.01257	0.721283	0.729766	left	OV3_Cisp0
chr10	112893647	112899843	f0c69f26-edcf-4944-9c21-dd29cb1556a2	112892584	112926180	fwd	6196	3979	1881	0	0.61651	0.004211	0.684211	-3	left	OV3_Cisp0
chr10	113477391	113488094	e3ae8327-7450-4057-8f0f-11dd8fb4e83f	113475823	113496256	fwd	10703	5857	1716	0	0.526032	0.049217	0.64877	-3	left	OV3_Cisp0
chr10	116245993	116260618	e35cbb33-987c-4352-bace-383c35d9dc29	116208150	116265600	rev	14625	3393	8548	0	0.650424	0.054428	0.629806	0.760974	left	OV3_Cisp0
chr10	116924026	116941684	ec0e02ea-9344-4570-8f71-e71cdfbddda1	116924015	116952565	rev	17658	7430	9178	0	0.506849	0.030326	0.773493	-3	left	OV3_Cisp0
chr10	118131886	118138635	e4da17f1-50f5-4954-be9b-f183843236df	118131882	118144375	fwd	6749	2904	3168	0.023356	0.599481	0.089588	0.543584	-3	left	OV3_Cisp0
chr10	123584066	123593194	de8d4888-16e9-4fa3-aea3-79bbb607258e	123583973	123600811	fwd	9128	4752	2845	0.005307	0.535254	0.023704	0.582222	-3	left	OV3_Cisp0
chr10	123627676	123641046	02e4a93f-99dc-4c3f-9233-b290b6234774	123627665	123642027	rev	13370	6281	5844	0.000611	0.751526	0.05767	0.744521	-3	left	OV3_Cisp0
chr11	365080	374572	de9b0378-8256-4c4a-9bfa-367f26f6ce87	365068	379644	rev	9492	4490	4572	0	0.494297	0.018519	0.876157	-3	left	OV3_Cisp0
chr11	4816119	4832771	aa81bcc9-eb7c-4db2-81dd-0b9eb118ed63	4816115	4850108	fwd	16652	10051	5425	0.040563	0.433791	0.034084	0.574235	-3	left	OV3_Cisp0
chr11	8835092	8856809	4b6d5cc6-a8e7-493b-98f5-f45ec814ae76	8823362	8866667	rev	21717	4980	14214	0.005529	0.809952	0.018437	0.833088	0.154079	left	OV3_Cisp0
chr11	9145088	9160210	d443b9ee-b2c6-4de3-90cd-489b52461f33	9133846	9169200	fwd	15122	4320	9345	0	0.560467	0.00373	0.841958	0.097628	left	OV3_Cisp0
chr11	10850376	10861639	747feafb-bd51-4b62-8507-53c1efcaa055	10833783	10863826	fwd	11263	2435	6092	0.042254	0.413572	0.012083	0.756041	0.21714	left	OV3_Cisp0
chr11	15092034	15102775	a1e55f4b-1195-41c7-8cdd-fc93b22202b8	15092016	15105024	rev	10741	1043	7710	0	0.444444	0.001096	0.886575	-3	left	OV3_Cisp0
chr11	16378736	16396479	295dd688-a7e3-4937-98f0-0f7bfcb5dd61	16374922	16400130	fwd	17743	5477	11010	0.0024	0.530294	0.024569	0.807546	-3	left	OV3_Cisp0
chr11	17358246	17373326	672c3482-aac2-493e-b661-2d0f80a0a47e	17358242	17373332	fwd	15080	4580	7596	0.017284	0.728395	0.047911	0.804395	-3	left	OV3_Cisp0
chr11	19179230	19191901	d660b228-b8fe-46ec-9714-4ad5a3d7ef16	19179224	19193561	fwd	12671	3838	6789	0.039216	0.70775	0.008306	0.812846	-3	left	OV3_Cisp0
chr11	19672473	19689222	026f7d1f-1a95-4994-b7a6-d179eeec8dd9	19653547	19711440	rev	16749	1675	13471	0	0.78481	0.011289	0.790255	0.138423	left	OV3_Cisp0
chr11	26183760	26189357	9b68636d-360e-411a-b383-efda3d7026d2	26183732	26198437	rev	5597	1136	1706	0.040625	0.39375	0.006557	0.480328	-3	left	OV3_Cisp0
