chromosome	fork_start	fork_end	readID	read_start	read_end	strand	fork_length_bp	EdU_length_bp	BrdU_length_bp	EdU_segment_contamination	EdU_segment_purity	BrdU_segment_contamination	BrdU_segment_purity	stall_score	fork_direction	sample
chr10	16954808	16962286	b9ba7494-36eb-453b-843a-694a960f4cbe	16951532	16963491	rev	7478	2598	4039	0	0.442581	0.040886	0.70954	-3	right	OV3_Cisp0
chr10	18791700	18798577	7cea3a90-2638-4ed6-b5e9-43937b74351e	18774653	18798626	fwd	6877	1023	3141	0	0.243986	0.025437	0.588235	-3	right	OV3_Cisp0
chr10	19917581	19926346	3bb4c078-1f82-42ee-929c-fe446253b9fd	19915907	19926351	rev	8765	5600	1804	0	0.552701	0.043222	0.693517	-3	right	OV3_Cisp0
chr10	20395709	20400909	5ec3e6d6-f8b7-4e47-85d4-6723c7a5d71b	20385981	20400924	fwd	5200	2215	2755	0	0.59772	0.005487	0.66118	-3	right	OV3_Cisp0
chr10	21849270	21857656	ccaba64d-0575-4959-be70-cc359be07cfb	21845477	21860224	fwd	8386	4414	2831	0.021838	0.523203	0	0.895683	-3	right	OV3_Cisp0
chr10	25517280	25528339	7d32a8fd-273a-44f2-8780-6a2310a7eeed	25513696	25528344	fwd	11059	6636	2966	0.000449	0.645553	0.055935	0.61528	-3	right	OV3_Cisp0
chr10	26592624	26603917	b3700b13-2bd0-40dd-9f2b-4fc9ad6916d5	26591079	26606177	fwd	11293	6531	2585	0	0.551087	0	0.861035	-3	right	OV3_Cisp0
chr10	27481322	27498572	2761ac39-5580-4d9b-bdfa-a182597aca04	27481315	27498585	rev	17250	2436	12221	0.011852	0.794074	0.04349	0.878592	-3	right	OV3_Cisp0
chr10	28734048	28744380	2b4c25f7-341f-4415-b355-de055a91395b	28732371	28744386	fwd	10332	1233	8349	0.118457	0.584022	0.084476	0.75188	-3	right	OV3_Cisp0
chr10	35722352	35738582	a00bb248-8033-418f-91ab-b6ed1e8356fb	35709971	35739232	fwd	16230	2267	10151	0.007692	0.48	0.000867	0.854293	-3	right	OV3_Cisp0
chr10	39153861	39161045	fad1a19e-dfea-4df8-97d2-0dfe16569841	39153856	39162633	fwd	7184	3221	2704	0.014911	0.570577	0.007353	0.507353	-3	right	OV3_Cisp0
chr10	41869233	41875799	3d6f3227-9dd7-4cc0-9cb6-61eb9d03e2b5	41851094	41879384	fwd	6566	1203	2496	0	0.635135	0.009288	0.544892	-3	right	OV3_Cisp0
chr10	41906806	41914445	1ca6c4a8-0f80-46b2-ac5c-628a45fafa97	41860203	41916258	fwd	7639	3790	2008	0.152778	0.350694	0	0.464844	-3	right	OV3_Cisp0
chr10	41888557	41891662	9e646095-6e73-45c5-aaf2-a7e94e14633e	41879328	41892461	fwd	3105	1025	1179	0.093023	0.465116	0.055	0.515	-3	right	OV3_Cisp0
chr10	41884242	41890479	19189686-06da-4937-9653-78179ae02abd	41881813	41898802	fwd	6237	590	917	0	0.45098	0.006944	0.451389	-1	right	OV3_Cisp0
chr10	41885445	41896613	efd6995d-b603-413e-89f9-056c45385901	41884246	41906978	fwd	11168	1413	8566	0.053061	0.432653	0.08951	0.613986	-3	right	OV3_Cisp0
chr10	41896698	41900646	2414501d-a28a-4d87-a014-dddc462edbf5	41886237	41901184	fwd	3948	1414	1215	0.146245	0.426877	0.004545	0.581818	-3	right	OV3_Cisp0
chr10	41907908	41911344	8274a84d-542b-4eb7-aa58-88139a704dd9	41904110	41916259	fwd	3436	704	2732	0.178571	0.178571	0	0.61194	-3	right	OV3_Cisp0
chr10	42093934	42105067	5dfa78ca-c77b-41fc-94b4-a0a93cf0cbd5	42066265	42105072	fwd	11133	3986	4710	0	0.675978	0.00625	0.813393	-3	right	OV3_Cisp0
chr10	58720269	58730819	ba028bfa-1536-4081-962a-d56d8a833988	58720108	58731949	rev	10550	2834	3272	0	0.533844	0.001189	0.87396	-3	right	OV3_Cisp0
chr10	59118364	59125838	867f3bbf-0f49-453d-aba6-95d615e4610c	59109879	59125847	fwd	7474	5123	1989	0	0.444136	0.003101	0.804651	-3	right	OV3_Cisp0
chr10	62901358	62921002	e2aa8003-ae85-4116-b767-ed723bb268e3	62897679	62921608	rev	19644	4633	11892	0.000719	0.84964	0.040024	0.829594	-3	right	OV3_Cisp0
chr10	65126083	65137371	562432ff-354d-4c93-b87c-18f4b298bde2	65118010	65137386	fwd	11288	3316	6488	0	0.788143	0.020436	0.868756	-3	right	OV3_Cisp0
chr10	65202547	65211927	e09e3ca4-4eeb-4161-965f-759e07b36915	65202540	65213714	rev	9380	3248	3239	0.007519	0.923738	0.030488	0.881098	-3	right	OV3_Cisp0
chr10	66557552	66570966	07115114-770d-4369-9053-46ab72f8ce9e	66537154	66570970	rev	13414	1326	10253	0	0.441176	0.016557	0.705092	-3	right	OV3_Cisp0
chr10	70983801	70992965	81c02bd8-c795-4512-8f8c-c8a88d71762e	70974194	70998831	rev	9164	4841	3888	0	0.60463	0.073001	0.492468	-3	right	OV3_Cisp0
chr10	72403837	72407478	fe998388-28a9-47df-afc7-eae85c4d9dcd	72387464	72407529	rev	3641	1558	1726	0	0.541573	0.01642	0.510673	-3	right	OV3_Cisp0
chr10	72559813	72575044	5a97fd3b-438c-4b6c-bfad-67a22000a381	72550288	72576349	rev	15231	4208	10710	0.00075	0.594899	0.034575	0.613413	-3	right	OV3_Cisp0
chr10	75611849	75623198	b86ddcb2-847d-4f83-9d20-dcae39362722	75610172	75625045	fwd	11349	3198	3853	0.006018	0.524574	0.004922	0.917966	-3	right	OV3_Cisp0
chr10	77177899	77190796	0fb6e554-53f2-44b3-8184-1b9e65e1bfb1	77164641	77190917	fwd	12897	2437	6137	0	0.634868	0.016982	0.742652	-3	right	OV3_Cisp0
chr10	79028026	79044387	5219435e-65af-4440-a247-b64fb02391d0	79027854	79047881	rev	16361	4585	11461	0.001873	0.768727	0.017579	0.830451	-3	right	OV3_Cisp0
chr10	79395931	79403431	77bbea17-f720-4f70-b349-53554d4cbe6f	79391832	79403454	fwd	7500	4158	1454	0.003286	0.637459	0.046296	0.783951	-3	right	OV3_Cisp0
chr10	80118657	80132963	7c59f016-ad3b-4390-a395-abc49dba04ac	80118650	80132969	rev	14306	4068	8013	0.063563	0.768129	0.07459	0.768274	-3	right	OV3_Cisp0
chr10	80786468	80795045	c6d932f5-a187-49b2-bb17-8c9c32d8af2e	80759855	80795114	fwd	8577	4086	3545	0	0.389916	0.01801	0.56175	-3	right	OV3_Cisp0
chr10	81617907	81624477	5d781a47-a8b9-484c-bfdd-45127b89abe6	81617298	81634126	rev	6570	3471	2741	0.041841	0.52636	0.015831	0.711082	-1	right	OV3_Cisp0
chr10	91849259	91862068	947ed719-f2df-4063-bd5a-17ef76c79987	91838954	91862074	fwd	12809	2881	9683	0.004848	0.390303	0.003352	0.803889	-3	right	OV3_Cisp0
chr10	92834874	92867419	9a12e930-cfb0-4868-bdf5-e21ea1cbbdb8	92824981	92868157	fwd	32545	1464	26495	0.033865	0.527888	0.015109	0.860307	-3	right	OV3_Cisp0
chr10	93002987	93026180	1beb20ac-08ac-4504-ac11-4755969ec514	92990078	93035290	rev	23193	3564	17275	0.000898	0.756732	0.043258	0.598597	0.328197	right	OV3_Cisp0
chr10	94422040	94440351	50600f59-4b97-4956-96f5-3d707f0939f3	94422034	94445852	rev	18311	1103	12402	0.109848	0.742424	0.013825	0.866359	-3	right	OV3_Cisp0
chr10	98688641	98700334	81c11cce-09a6-4b61-b5ef-865710320400	98688635	98700343	rev	11693	4423	4226	0.039294	0.694467	0.020808	0.850061	-3	right	OV3_Cisp0
chr10	102228531	102242347	85b43d07-6200-4430-aed2-83332956b231	102196701	102242354	fwd	13816	4562	7155	0	0.556678	0.028463	0.550285	-3	right	OV3_Cisp0
chr10	106377466	106394979	8c91f9eb-1b66-42c7-a733-bbb992d7dd1a	106377461	106394988	fwd	17513	2998	12463	0.039761	0.764414	0.021462	0.820476	-3	right	OV3_Cisp0
chr10	110413531	110417135	162e74a2-5370-434d-973a-39b529fc2078	110405985	110417150	fwd	3604	1023	2220	0	0.398438	0.025688	0.763303	-3	right	OV3_Cisp0
chr10	111525999	111546717	0f5ef79c-4e42-4836-abb4-d195bb38f1c6	111518903	111571493	fwd	20718	5685	13877	0.006135	0.662577	0.012355	0.736067	0.450673	right	OV3_Cisp0
chr10	113378440	113395990	dab1bacb-7730-4ad4-a40b-9a596936e077	113377930	113395995	rev	17550	4518	10560	0.01129	0.604839	0.014151	0.91582	-3	right	OV3_Cisp0
chr10	119661960	119686123	191900e3-deca-40d4-82a5-d3bae16548fd	119661872	119686139	rev	24163	4834	19029	0.003021	0.406848	0.007204	0.74678	-3	right	OV3_Cisp0
chr10	132485063	132494785	c88457c6-fe47-4ac8-8f13-40335ff227a0	132462491	132497171	rev	9722	2227	3528	0	0.672192	0	0.810219	-3	right	OV3_Cisp0
chr11	3460612	3468587	c15c4b92-ab0e-4754-ad6c-13e616836b2a	3460608	3468618	fwd	7975	3231	1063	0.010025	0.657895	0.119497	0.506289	-3	right	OV3_Cisp0
chr11	3893906	3899579	a1110be6-7e6c-454b-8d60-2ac8260962b7	3893902	3899641	fwd	5673	3315	1752	0.031068	0.87767	0.156573	0.666174	-3	right	OV3_Cisp0
chr11	4231345	4242254	c1d80d07-0db2-4d66-8c0d-1dcc0b0b9b2c	4228761	4242690	fwd	10909	4028	5468	0.002641	0.677817	0.019768	0.767553	-3	right	OV3_Cisp0
chr11	6930112	6942129	6ce64a5a-cee7-438a-8a18-25deeb645044	6925230	6943075	rev	12017	4428	6538	0	0.420437	0.011389	0.779238	-3	right	OV3_Cisp0
chr11	10827143	10831969	3ccdcb3e-09f8-4007-aec1-2760fa6c9e7f	10821977	10842239	fwd	4826	1481	2769	0	0.461326	0.016035	0.626822	0.580654	right	OV3_Cisp0
chr11	10995903	11007639	05d7403f-b8e6-49b3-aeda-560e58c64569	10980893	11007963	rev	11736	4407	4752	0.005367	0.297853	0.004072	0.610749	-3	right	OV3_Cisp0
chr11	11378613	11392478	d4b0a202-3382-498c-b977-9126e3c0a389	11370660	11392483	fwd	13865	4684	5021	0.021774	0.724194	0.010359	0.823108	-3	right	OV3_Cisp0
chr11	13521888	13541971	9663e478-a0a7-4612-9580-6be730a61be6	13511753	13542617	fwd	20083	7097	12405	0	0.640171	0.005597	0.754198	-3	right	OV3_Cisp0
chr11	15404334	15415676	627c6652-a66b-470f-884c-580ddec807ab	15393639	15415684	fwd	11342	2474	8426	0.008889	0.528889	0.012803	0.684042	-3	right	OV3_Cisp0
chr11	17080989	17095731	214b9a42-b7b4-4549-a424-ae0629d21077	17072909	17095740	fwd	14742	4972	9522	0	0.678623	0.019835	0.859281	-3	right	OV3_Cisp0
chr11	17496632	17503932	b0d7d215-2fcd-456f-bbcf-02873882ab42	17485602	17504377	rev	7300	4091	2986	0.004449	0.734149	0.054628	0.629742	-3	right	OV3_Cisp0
chr11	21765383	21791524	440f9ffb-eda5-4a09-8516-bdd4a6622a34	21745198	21791537	rev	26141	5730	17240	0.005714	0.582286	0.012731	0.76533	-3	right	OV3_Cisp0
chr11	23771223	23789283	6c125288-c2bc-4498-b0f0-4fd164918c31	23752936	23789288	rev	18060	9456	4695	0.017708	0.663214	0.002185	0.812819	-3	right	OV3_Cisp0
