sample	read_id	chromosome	EdU_bp	BrdU_bp	total_analogue_bp	EdU_segments	BrdU_segments
UWB_Cisp1	661dcca8-58b6-408e-bafd-0e9eb7eb9cad	chr9	1399	7338	8737	1	1
UWB_Cisp1	771f84ae-c5bd-49ec-bedb-aa25bf859d3d	chr9	3799	1153	4952	1	1
UWB_Cisp1	7e494da2-1407-48ef-9e42-d154a437de82	chr9	1089	3698	4787	1	1
UWB_Cisp1	8fbf27d5-bda0-41a7-be89-1eb525954ab6	chr9	2455	3283	5738	1	1
UWB_Cisp1	cab5c077-2f03-4b3e-bf9a-bcebd6164902	chr9	1592	1853	3445	1	1
UWB_Cisp1	e4a86196-9cf8-457c-9f67-7cec3fe8f53b	chr9	1002	2857	3859	1	1
UWB_Cisp1	e6fa8e4b-6203-4fee-be87-f1128de27a6d	chr9	1914	6894	8808	1	1
UWB_Cisp1	074bcb88-ff8d-492d-97da-fddbee68dc0f	chr10	2242	1600	3842	1	1
UWB_Cisp1	0cda25fd-d6cc-493e-a9a1-08a470c02ae7	chr10	1357	4783	6140	1	2
UWB_Cisp1	10909c6b-8bb3-4cff-a4d1-7f6e52a2b736	chr10	1088	2177	3265	1	1
UWB_Cisp1	1276f8ab-f5fa-486b-870d-e6298d49cc4f	chr10	20326	1777	22103	2	1
UWB_Cisp1	1335e7c6-87c3-4ad2-b18a-a3e2c3b4560a	chr10	4315	3543	7858	1	1
UWB_Cisp1	15e4f83c-c44d-4aaf-b898-694f967299cb	chr10	5471	2893	8364	1	1
UWB_Cisp1	1ec7c594-15d4-4ab3-ab97-b0255f1d1662	chr10	1930	8128	10058	1	1
UWB_Cisp1	2738ac92-4a5d-40c6-89b4-b43badac913b	chr10	2119	6205	8324	1	1
UWB_Cisp1	2d5b85e4-9dfa-4236-951f-4b6fe2ef200b	chr10	1479	1038	2517	1	1
UWB_Cisp1	2dd31739-3f26-4865-bbb9-66a862ac3995	chr10	1644	1126	2770	1	1
UWB_Cisp1	409bf0c1-13e2-4ab5-b979-8a03477951c3	chr10	2652	1520	4172	1	1
UWB_Cisp1	44c3c2b3-ac54-494d-bb72-1ef31cbd544a	chr10	2559	1830	4389	2	1
UWB_Cisp1	46bb99ca-1810-454a-9c78-d3928aa1e389	chr10	1264	1708	2972	1	1
UWB_Cisp1	46f30fef-7ca5-4764-9d97-6f838775afd3	chr10	1638	10254	11892	1	1
UWB_Cisp1	611a5672-38cf-4900-bb26-ef93fdf4404e	chr10	2165	1040	3205	1	1
UWB_Cisp1	73646415-e8d4-43e2-a64e-7166ae0eb237	chr10	1481	1190	2671	1	1
UWB_Cisp1	7394ae64-4a83-4edd-95db-1c4190c019cc	chr10	2421	8851	11272	1	1
UWB_Cisp1	76377e34-0cdc-4164-b18d-685e7ec69cf9	chr10	8901	6630	15531	1	1
UWB_Cisp1	792adfd2-a9b2-450d-aab3-178d4e5ac9fe	chr10	2458	6023	8481	2	3
UWB_Cisp1	8a2a3476-d3ad-41a8-afcb-1d9c05ddf875	chr10	5261	7053	12314	1	1
UWB_Cisp1	9af2a3e8-f98d-4594-986c-15a0737d61cd	chr10	2209	1169	3378	2	1
UWB_Cisp1	9c065cda-8de8-44fe-9e41-6b8334df76cd	chr10	1044	3068	4112	1	1
